sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
140062832.00, 0, 0, 0.5295, 0.5026, 0.5029, 0.5025, 0.5071, 0.5072, 0.5075, 0.5076, 0.5067, 0.5032
140062832.00, 0, 8, 0.5050, 0.5038, 0.5050, 0.5049, 0.5051, 0.5049, 0.5049, 0.5045, 0.5036, 0.5038
140062832.00, 0, 16, 0.5071, 0.5071, 0.5055, 0.5042, 0.5043, 0.5040, 0.5043, 0.5038, 0.5043, 0.5040
140062832.00, 0, 24, 0.5049, 0.5046, 0.5045, 0.5046, 0.5050, 0.5047, 0.5047, 0.5046, 0.5052, 0.5047
140062832.00, 0, 32, 0.5052, 0.5050, 0.5045, 0.5041, 0.5043, 0.5040, 0.5043, 0.5040, 0.5043, 0.5042
140062832.00, 0, 40, 0.5052, 0.5039, 0.5035, 0.5025, 0.5028, 0.5025, 0.5031, 0.5026, 0.5029, 0.5028
140062832.00, 0, 48, 0.5040, 0.5026, 0.5030, 0.5027, 0.5028, 0.5026, 0.5031, 0.5025, 0.5029, 0.5027
140062832.00, 0, 56, 0.5041, 0.5065, 0.5029, 0.5025, 0.5027, 0.5030, 0.5031, 0.5050, 0.5027, 0.5026
140062832.00, 0, 64, 0.5039, 0.5027, 0.5029, 0.5026, 0.5029, 0.5025, 0.5030, 0.5025, 0.5029, 0.5026
140062832.00, 0, 72, 0.5040, 0.5027, 0.5026, 0.5026, 0.5025, 0.5028, 0.5027, 0.5028, 0.5028, 0.5034
140062832.00, 0, 80, 0.5040, 0.5033, 0.5030, 0.5031, 0.5029, 0.5032, 0.5030, 0.5031, 0.5028, 0.5032
140062832.00, 0, 88, 0.5043, 0.5032, 0.5028, 0.5031, 0.5027, 0.5030, 0.5030, 0.5030, 0.5030, 0.5031
140062832.00, 0, 96, 0.5047, 0.5030, 0.5027, 0.5028, 0.5026, 0.5029, 0.5026, 0.5029, 0.5026, 0.5029
140062832.00, 0, 104, 0.5037, 0.5029, 0.5025, 0.5028, 0.5025, 0.5028, 0.5025, 0.5028, 0.5024, 0.5029
140062832.00, 0, 112, 0.5038, 0.5028, 0.5025, 0.5029, 0.5025, 0.5027, 0.5025, 0.5028, 0.5025, 0.5028
140062832.00, 0, 120, 0.5039, 0.5028, 0.5024, 0.5027, 0.5024, 0.5028, 0.5025, 0.5029, 0.5024, 0.5029
140062832.00, 8, 0, 0.5037, 0.5028, 0.5025, 0.5028, 0.5025, 0.5028, 0.5026, 0.5028, 0.5025, 0.5028
140062832.00, 8, 8, 0.2809, 0.2800, 0.2799, 0.2803, 0.2799, 0.2799, 0.2802, 0.2799, 0.2799, 0.2799
140062832.00, 8, 16, 0.2984, 0.2978, 0.2977, 0.2980, 0.2978, 0.2978, 0.2977, 0.2980, 0.2977, 0.2977
140062832.00, 8, 24, 0.2912, 0.2906, 0.2906, 0.2905, 0.2909, 0.2906, 0.2905, 0.2908, 0.2905, 0.2906
140062832.00, 8, 32, 0.2873, 0.2872, 0.2869, 0.2870, 0.2872, 0.2869, 0.2870, 0.2869, 0.2873, 0.2870
140062832.00, 8, 40, 0.2859, 0.2858, 0.2855, 0.2856, 0.2855, 0.2857, 0.2855, 0.2881, 0.2858, 0.2854
140062832.00, 8, 48, 0.2842, 0.2838, 0.2841, 0.2837, 0.2838, 0.2840, 0.2837, 0.2838, 0.2837, 0.2840
