sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 0.3913, 0.3913, 0.3913, 0.3913, 0.3915, 0.3914, 0.3913, 0.3913, 0.3913, 0.3913
139950080.00, 0, 8, 0.3914, 0.3914, 0.3914, 0.3914, 0.3916, 0.3915, 0.3917, 0.3913, 0.3913, 0.3914
139950080.00, 0, 16, 0.3919, 0.3915, 0.3915, 0.3913, 0.3917, 0.3914, 0.3914, 0.3914, 0.3970, 0.3922
139950080.00, 0, 24, 0.3915, 0.3915, 0.3913, 0.3913, 0.3913, 0.3913, 0.3913, 0.3913, 0.3914, 0.3915
139950080.00, 0, 32, 0.3914, 0.3916, 0.3914, 0.3914, 0.3914, 0.3914, 0.3914, 0.3915, 0.3914, 0.3916
139950080.00, 0, 40, 0.3913, 0.3915, 0.3915, 0.3918, 0.3914, 0.3914, 0.3914, 0.3913, 0.3913, 0.3913
139950080.00, 0, 48, 0.3914, 0.3915, 0.3914, 0.3914, 0.3913, 0.3915, 0.3914, 0.3914, 0.3914, 0.3913
139950080.00, 0, 56, 0.3913, 0.3914, 0.3913, 0.3913, 0.3913, 0.3916, 0.3914, 0.3914, 0.3913, 0.3913
139950080.00, 0, 64, 0.3914, 0.3914, 0.3915, 0.3913, 0.3914, 0.3914, 0.3913, 0.3914, 0.3914, 0.3913
139950080.00, 0, 72, 0.3914, 0.3913, 0.3915, 0.3913, 0.3914, 0.3914, 0.3914, 0.3914, 0.3915, 0.3914
139950080.00, 0, 80, 0.3914, 0.3915, 0.3920, 0.3914, 0.3918, 0.3913, 0.3915, 0.3913, 0.3914, 0.3915
139950080.00, 0, 88, 0.3914, 0.3914, 0.3915, 0.3914, 0.3914, 0.3914, 0.3916, 0.3915, 0.3915, 0.3914
139950080.00, 0, 96, 0.3915, 0.3914, 0.3913, 0.3915, 0.3913, 0.3913, 0.3913, 0.3913, 0.3915, 0.3913
139950080.00, 0, 104, 0.3913, 0.3913, 0.3913, 0.3915, 0.3913, 0.3913, 0.3913, 0.3912, 0.3915, 0.3913
139950080.00, 0, 112, 0.3914, 0.3915, 0.3915, 0.3915, 0.3915, 0.3912, 0.3913, 0.3917, 0.3913, 0.3913
139950080.00, 0, 120, 0.3913, 0.3914, 0.3914, 0.3914, 0.3914, 0.3916, 0.3915, 0.3916, 0.3912, 0.3913
139950080.00, 0, 128, 0.3914, 0.3914, 0.3914, 0.3915, 0.3914, 0.3915, 0.3915, 0.3915, 0.3915, 0.3914
139950080.00, 8, 0, 0.3914, 0.3913, 0.3913, 0.3917, 0.3915, 0.3913, 0.3913, 0.3913, 0.3913, 0.3913
139950080.00, 8, 8, 0.2400, 0.2401, 0.2401, 0.2401, 0.2400, 0.2400, 0.2400, 0.2401, 0.2400, 0.2400
139950080.00, 8, 16, 0.2560, 0.2559, 0.2559, 0.2560, 0.2557, 0.2557, 0.2557, 0.2555, 0.2556, 0.2554
139950080.00, 8, 24, 0.2497, 0.2497, 0.2500, 0.2498, 0.2498, 0.2497, 0.2497, 0.2497, 0.2497, 0.2498
139950080.00, 8, 32, 0.2462, 0.2461, 0.2462, 0.2462, 0.2461, 0.2461, 0.2462, 0.2460, 0.2462, 0.2462
139950080.00, 8, 40, 0.2454, 0.2454, 0.2454, 0.2453, 0.2456, 0.2455, 0.2454, 0.2454, 0.2454, 0.2454
139950080.00, 8, 48, 0.2438, 0.2439, 0.2439, 0.2438, 0.2439, 0.2439, 0.2440, 0.2439, 0.2437, 0.2437
139950080.00, 8, 56, 0.2423, 0.2423, 0.2425, 0.2423, 0.2424, 0.2423, 0.2422, 0.2422, 0.2423, 0.2422
139950080.00, 8, 64, 0.2417, 0.2417, 0.2416, 0.2417, 0.2417, 0.2417, 0.2416, 0.2419, 0.2418, 0.2417
139950080.00, 8, 72, 0.2414, 0.2415, 0.2413, 0.2413, 0.2414, 0.2413, 0.2413, 0.2416, 0.2414, 0.2415
139950080.00, 8, 80, 0.2420, 0.2419, 0.2422, 0.2420, 0.2419, 0.2419, 0.2420, 0.2420, 0.2420, 0.2418
139950080.00, 8, 88, 0.2419, 0.2419, 0.2419, 0.2419, 0.2418, 0.2418, 0.2419, 0.2418, 0.2418, 0.2419
139950080.00, 8, 96, 0.2416, 0.2416, 0.2416, 0.2416, 0.2414, 0.2414, 0.2416, 0.2415, 0.2416, 0.2415
139950080.00, 8, 104, 0.2407, 0.2408, 0.2408, 0.2408, 0.2407, 0.2407, 0.2407, 0.2408, 0.2408, 0.2408
139950080.00, 8, 112, 0.2410, 0.2409, 0.2410, 0.2407, 0.2409, 0.2410, 0.2408, 0.2408, 0.2411, 0.2408
139950080.00, 8, 120, 0.2410, 0.2409, 0.2409, 0.2409, 0.2410, 0.2408, 0.2409, 0.2408, 0.2408, 0.2408
139950080.00, 8, 128, 0.2405, 0.2404, 0.2404, 0.2405, 0.2407, 0.2406, 0.2405, 0.2404, 0.2404, 0.2405
139950080.00, 16, 0, 0.3915, 0.3912, 0.3913, 0.3912, 0.3912, 0.3912, 0.3913, 0.3913, 0.3914, 0.3913
139950080.00, 16, 8, 0.2435, 0.2435, 0.2435, 0.2436, 0.2436, 0.2435, 0.2435, 0.2435, 0.2436, 0.2437
139950080.00, 16, 16, 0.2337, 0.2338, 0.2337, 0.2336, 0.2337, 0.2338, 0.2336, 0.2338, 0.2340, 0.2339
139950080.00, 16, 24, 0.2298, 0.2298, 0.2298, 0.2299, 0.2298, 0.2299, 0.2299, 0.2299, 0.2300, 0.2299
139950080.00, 16, 32, 0.2280, 0.2279, 0.2279, 0.2279, 0.2282, 0.2280, 0.2279, 0.2279, 0.2279, 0.2279
139950080.00, 16, 40, 0.2272, 0.2271, 0.2274, 0.2273, 0.2272, 0.2272, 0.2273, 0.2272, 0.2271, 0.2271
139950080.00, 16, 48, 0.2267, 0.2267, 0.2267, 0.2267, 0.2266, 0.2268, 0.2267, 0.2267, 0.2267, 0.2267
139950080.00, 16, 56, 0.2263, 0.2264, 0.2263, 0.2269, 0.2269, 0.2266, 0.2265, 0.2265, 0.2265, 0.2266
