sum,A,B,t0,t1,t2
139950080.00, 0, 0, 0.4098, 0.4097, 0.4101
139950080.00, 0, 8, 0.4100, 0.4106, 0.4101
139950080.00, 0, 16, 0.4097, 0.4096, 0.4097
139950080.00, 0, 24, 0.4099, 0.4101, 0.4093
139950080.00, 0, 32, 0.4091, 0.4090, 0.4094
139950080.00, 0, 40, 0.4096, 0.4097, 0.4103
139950080.00, 0, 48, 0.4092, 0.4094, 0.4096
139950080.00, 0, 56, 0.4097, 0.4093, 0.4093
139950080.00, 0, 64, 0.4095, 0.4094, 0.4105
139950080.00, 0, 72, 0.4104, 0.4101, 0.4102
139950080.00, 0, 80, 0.4102, 0.4104, 0.4099
139950080.00, 0, 88, 0.4095, 0.4099, 0.4187
139950080.00, 0, 96, 0.4095, 0.4101, 0.4096
139950080.00, 0, 104, 0.4102, 0.4098, 0.4102
139950080.00, 0, 112, 0.4099, 0.4103, 0.4100
139950080.00, 0, 120, 0.4099, 0.4101, 0.4097
139950080.00, 0, 128, 0.4108, 0.4111, 0.4112
139950080.00, 8, 0, 0.4111, 0.4110, 0.4117
139950080.00, 8, 8, 0.2523, 0.2501, 0.2520
139950080.00, 8, 16, 0.2650, 0.2663, 0.2639
139950080.00, 8, 24, 0.2580, 0.2615, 0.2638
139950080.00, 8, 32, 0.2547, 0.2600, 0.2552
139950080.00, 8, 40, 0.2579, 0.2564, 0.2577
139950080.00, 8, 48, 0.2549, 0.2565, 0.2563
139950080.00, 8, 56, 0.2580, 0.2574, 0.2560
139950080.00, 8, 64, 0.2548, 0.2497, 0.2516
139950080.00, 8, 72, 0.2511, 0.2513, 0.2515
139950080.00, 8, 80, 0.2510, 0.2505, 0.2507
139950080.00, 8, 88, 0.2505, 0.2521, 0.2527
139950080.00, 8, 96, 0.2515, 0.2515, 0.2517
139950080.00, 8, 104, 0.2513, 0.2516, 0.2516
139950080.00, 8, 112, 0.2510, 0.2516, 0.2507
139950080.00, 8, 120, 0.2499, 0.2511, 0.2504
139950080.00, 8, 128, 0.2503, 0.2492, 0.2495
139950080.00, 16, 0, 0.4108, 0.4114, 0.4115
139950080.00, 16, 8, 0.2614, 0.2572, 0.2599
139950080.00, 16, 16, 0.2424, 0.2444, 0.2428
139950080.00, 16, 24, 0.2397, 0.2381, 0.2390
139950080.00, 16, 32, 0.2359, 0.2359, 0.2360
139950080.00, 16, 40, 0.2351, 0.2360, 0.2351
139950080.00, 16, 48, 0.2348, 0.2338, 0.2350
139950080.00, 16, 56, 0.2339, 0.2348, 0.2342
139950080.00, 16, 64, 0.2440, 0.2339, 0.2340
139950080.00, 16, 72, 0.2338, 0.2334, 0.2334
139950080.00, 16, 80, 0.2358, 0.2361, 0.2363
139950080.00, 16, 88, 0.2363, 0.2342, 0.2438
139950080.00, 16, 96, 0.2333, 0.2386, 0.2340
139950080.00, 16, 104, 0.2350, 0.2332, 0.2340
139950080.00, 16, 112, 0.2315, 0.2330, 0.2315
139950080.00, 16, 120, 0.2334, 0.2322, 0.2320
139950080.00, 16, 128, 0.2321, 0.2311, 0.2324
139950080.00, 24, 0, 0.4149, 0.4147, 0.4139
139950080.00, 24, 8, 0.2591, 0.2512, 0.2835
139950080.00, 24, 16, 0.2439, 0.2521, 0.2490
139950080.00, 24, 24, 0.2331, 0.2311, 0.2337
139950080.00, 24, 32, 0.2312, 0.2317, 0.2321
139950080.00, 24, 40, 0.2299, 0.2290, 0.2304
139950080.00, 24, 48, 0.2294, 0.2283, 0.2280
139950080.00, 24, 56, 0.2274, 0.2279, 0.2272
139950080.00, 24, 64, 0.2269, 0.2261, 0.2269
139950080.00, 24, 72, 0.2264, 0.2269, 0.2263
139950080.00, 24, 80, 0.2270, 0.2266, 0.2275
139950080.00, 24, 88, 0.2269, 0.2263, 0.2272
139950080.00, 24, 96, 0.2261, 0.2269, 0.2296
139950080.00, 24, 104, 0.2324, 0.2269, 0.2294
139950080.00, 24, 112, 0.2268, 0.2270, 0.2280
139950080.00, 24, 120, 0.2261, 0.2289, 0.2257
139950080.00, 24, 128, 0.2290, 0.2256, 0.2286
139950080.00, 32, 0, 0.4138, 0.4239, 0.4148
139950080.00, 32, 8, 0.2583, 0.2519, 0.2602
139950080.00, 32, 16, 0.2371, 0.2415, 0.2420
139950080.00, 32, 24, 0.2387, 0.2312, 0.2392
139950080.00, 32, 32, 0.2306, 0.2291, 0.2287
139950080.00, 32, 40, 0.2264, 0.2297, 0.2267
139950080.00, 32, 48, 0.2308, 0.2250, 0.2271
139950080.00, 32, 56, 0.2254, 0.2264, 0.2253
139950080.00, 32, 64, 0.2248, 0.2257, 0.2245
139950080.00, 32, 72, 0.2256, 0.2242, 0.2259
139950080.00, 32, 80, 0.2256, 0.2295, 0.2229
139950080.00, 32, 88, 0.2266, 0.2246, 0.2225
139950080.00, 32, 96, 0.2227, 0.2224, 0.2243
139950080.00, 32, 104, 0.2222, 0.2233, 0.2219
139950080.00, 32, 112, 0.2229, 0.2219, 0.2225
139950080.00, 32, 120, 0.2223, 0.2223, 0.2228
139950080.00, 32, 128, 0.2214, 0.2227, 0.2212
139950080.00, 40, 0, 0.4127, 0.4121, 0.4123
139950080.00, 40, 8, 0.2441, 0.2487, 0.2438
139950080.00, 40, 16, 0.2339, 0.2327, 0.2333
139950080.00, 40, 24, 0.2290, 0.2288, 0.2288
139950080.00, 40, 32, 0.2244, 0.2259, 0.2246
139950080.00, 40, 40, 0.2249, 0.2232, 0.2247
139950080.00, 40, 48, 0.2224, 0.2227, 0.2235
139950080.00, 40, 56, 0.2217, 0.2230, 0.2216
139950080.00, 40, 64, 0.2222, 0.2210, 0.2220
139950080.00, 40, 72, 0.2211, 0.2213, 0.2214
139950080.00, 40, 80, 0.2208, 0.2214, 0.2208
139950080.00, 40, 88, 0.2211, 0.2206, 0.2211
139950080.00, 40, 96, 0.2223, 0.2232, 0.2234
