sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 3.1108, 3.1091, 3.1114, 3.1168, 3.1060, 3.1005, 3.1149, 3.1039, 3.1002, 3.0994
139950080.00, 0, 8, 3.1159, 3.1395, 3.1904, 3.2684, 3.2880, 3.2403, 3.2162, 3.1584, 3.1046, 3.1259
139950080.00, 0, 16, 3.1188, 3.1187, 3.1350, 3.1247, 3.1231, 3.1303, 3.1150, 3.1149, 3.1203, 3.1252
139950080.00, 0, 24, 3.1165, 3.1186, 3.1251, 3.1168, 3.1124, 3.1256, 3.1132, 3.1221, 3.1257, 3.1248
139950080.00, 0, 32, 3.1168, 3.1446, 3.1733, 3.1187, 3.2369, 3.2338, 3.1999, 3.1896, 3.1283, 3.1818
139950080.00, 0, 40, 3.1826, 3.1173, 3.1364, 3.1268, 3.1980, 3.1623, 3.1280, 3.0982, 3.1746, 3.1694
139950080.00, 0, 48, 3.1779, 3.2323, 3.2116, 3.2170, 3.1998, 3.2070, 3.2059, 3.2296, 3.2099, 3.1578
139950080.00, 0, 56, 3.1229, 3.1286, 3.1257, 3.1382, 3.1293, 3.1213, 3.1203, 3.1257, 3.1166, 3.0813
139950080.00, 0, 64, 3.1332, 3.0754, 3.1136, 3.1198, 3.0493, 3.1169, 3.1173, 3.1270, 3.1111, 3.1114
139950080.00, 0, 72, 3.1240, 3.1125, 3.1110, 3.1130, 3.1241, 3.1123, 3.1143, 3.1401, 3.1231, 3.1222
139950080.00, 0, 80, 3.1332, 3.1229, 3.1190, 3.1254, 3.1221, 3.1245, 3.1177, 3.1302, 3.1177, 3.1168
139950080.00, 0, 88, 3.1255, 3.1190, 3.1176, 3.1244, 3.1206, 3.1161, 3.1194, 3.1252, 3.1107, 3.1109
139950080.00, 0, 96, 3.1276, 3.1136, 3.1115, 3.0227, 3.1233, 3.1226, 3.1193, 3.1105, 3.1139, 3.1073
139950080.00, 0, 104, 3.1212, 3.1111, 3.1112, 3.0824, 3.1160, 3.1319, 3.1292, 3.1178, 3.1211, 3.1200
139950080.00, 0, 112, 3.1265, 3.1177, 3.1246, 3.1325, 3.1223, 3.1205, 3.1308, 3.1195, 3.1224, 3.1269
139950080.00, 0, 120, 3.1194, 3.1168, 3.1149, 3.0901, 3.1106, 3.1163, 3.1235, 3.1117, 3.1170, 3.1227
139950080.00, 0, 128, 3.1137, 3.1147, 3.1278, 3.1128, 3.1124, 3.1176, 3.1252, 3.1167, 3.1159, 3.1232
139950080.00, 8, 0, 3.1122, 3.1130, 3.1239, 3.1274, 3.1284, 3.1262, 3.1302, 3.1170, 3.1198, 3.1190
