sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 3.3837, 3.3774, 3.3916, 3.3904, 3.3916, 3.3916, 3.3912, 3.3929, 3.3912, 3.3837
139950080.00, 0, 8, 3.3646, 3.3702, 3.3590, 3.3712, 3.3727, 3.3799, 3.3897, 3.3758, 3.3733, 3.3910
139950080.00, 0, 16, 3.3962, 3.3968, 3.3839, 3.3994, 3.4003, 3.3779, 3.4021, 3.4018, 3.4010, 3.4024
139950080.00, 0, 24, 3.4026, 3.4024, 3.3989, 3.4016, 3.4011, 3.3995, 3.4000, 3.4023, 3.4012, 3.4016
139950080.00, 0, 32, 3.4002, 3.4004, 3.4002, 3.4014, 3.4019, 3.4009, 3.4000, 3.4013, 3.4002, 3.4011
139950080.00, 0, 40, 3.4004, 3.4025, 3.4022, 3.3831, 3.3999, 3.4015, 3.3997, 3.4009, 3.4001, 3.4006
139950080.00, 0, 48, 3.4007, 3.3731, 3.4004, 3.4010, 3.4001, 3.3997, 3.3833, 3.3925, 3.3740, 3.3798
139950080.00, 0, 56, 3.3924, 3.3949, 3.4005, 3.4009, 3.3969, 3.4025, 3.3999, 3.3869, 3.4007, 3.4010
139950080.00, 0, 64, 3.4013, 3.4003, 3.3810, 3.3999, 3.4014, 3.3666, 3.3944, 3.4016, 3.4005, 3.4004
139950080.00, 0, 72, 3.4003, 3.3992, 3.4003, 3.3590, 3.4011, 3.3997, 3.4008, 3.3999, 3.4012, 3.3997
139950080.00, 0, 80, 3.4008, 3.4002, 3.3999, 3.4002, 3.3975, 3.3870, 3.4007, 3.4002, 3.3985, 3.3990
139950080.00, 0, 88, 3.4007, 3.3937, 3.3759, 3.4008, 3.4006, 3.4007, 3.4002, 3.4002, 3.3991, 3.4006
139950080.00, 0, 96, 3.3506, 3.3998, 3.4004, 3.4008, 3.4002, 3.3967, 3.3992, 3.3995, 3.3863, 3.3997
139950080.00, 0, 104, 3.3984, 3.4003, 3.4003, 3.4002, 3.4013, 3.4017, 3.4006, 3.3594, 3.4008, 3.4009
139950080.00, 0, 112, 3.4008, 3.3992, 3.4006, 3.4002, 3.4008, 3.4002, 3.3992, 3.3994, 3.4018, 3.4013
139950080.00, 0, 120, 3.4006, 3.4006, 3.4026, 3.4003, 3.4020, 3.3992, 3.4010, 3.3961, 3.3750, 3.3893
139950080.00, 0, 128, 3.3800, 3.3917, 3.3939, 3.3976, 3.3972, 3.3973, 3.3988, 3.3981, 3.3978, 3.3974
139950080.00, 8, 0, 3.3980, 3.3951, 3.3748, 3.3660, 3.3506, 3.3804, 3.3950, 3.3759, 3.3992, 3.3986
139950080.00, 8, 8, 1.5389, 1.5360, 1.5359, 1.5389, 1.5386, 1.5219, 1.5284, 1.5393, 1.5367, 1.5376
139950080.00, 8, 16, 1.3274, 1.3263, 1.3273, 1.3272, 1.3291, 1.3290, 1.3296, 1.3298, 1.3258, 1.3289
139950080.00, 8, 24, 1.2655, 1.2595, 1.2566, 1.2628, 1.2602, 1.2612, 1.2610, 1.2595, 1.2612, 1.2616
139950080.00, 8, 32, 1.2195, 1.2169, 1.2209, 1.2199, 1.2171, 1.2170, 1.2169, 1.2177, 1.2171, 1.2170
139950080.00, 8, 40, 1.2006, 1.1996, 1.2000, 1.1994, 1.1995, 1.1995, 1.1991, 1.2007, 1.1991, 1.1993
139950080.00, 8, 48, 1.1852, 1.1847, 1.1854, 1.1848, 1.1848, 1.1849, 1.1846, 1.1859, 1.1847, 1.1850
139950080.00, 8, 56, 1.1765, 1.1672, 1.1767, 1.1761, 1.1764, 1.1760, 1.1759, 1.1767, 1.1763, 1.1760
139950080.00, 8, 64, 1.1676, 1.1669, 1.1672, 1.1677, 1.1670, 1.1671, 1.1671, 1.1669, 1.1669, 1.1678
139950080.00, 8, 72, 1.1631, 1.1631, 1.1627, 1.1627, 1.1634, 1.1627, 1.1622, 1.1626, 1.1626, 1.1626
139950080.00, 8, 80, 1.1607, 1.1562, 1.1598, 1.1602, 1.1600, 1.1514, 1.1595, 1.1603, 1.1599, 1.1600
139950080.00, 8, 88, 1.1558, 1.1554, 1.1562, 1.1554, 1.1556, 1.1556, 1.1557, 1.1557, 1.1560, 1.1543
139950080.00, 8, 96, 1.1551, 1.1558, 1.1558, 1.1557, 1.1560, 1.1561, 1.1558, 1.1555, 1.1559, 1.1557
139950080.00, 8, 104, 1.1515, 1.1522, 1.1514, 1.1510, 1.1515, 1.1511, 1.1514, 1.1519, 1.1511, 1.1511
139950080.00, 8, 112, 1.1525, 1.1519, 1.1519, 1.1532, 1.1520, 1.1519, 1.1520, 1.1462, 1.1515, 1.1524
139950080.00, 8, 120, 1.1478, 1.1476, 1.1480, 1.1478, 1.1477, 1.1475, 1.1483, 1.1474, 1.1475, 1.1475
139950080.00, 8, 128, 1.1486, 1.1479, 1.1483, 1.1481, 1.1481, 1.1481, 1.1478, 1.1484, 1.1479, 1.1489
139950080.00, 16, 0, 3.3815, 3.3808, 3.3807, 3.3826, 3.3816, 3.3806, 3.3778, 3.3752, 3.3616, 3.3401
139950080.00, 16, 8, 1.6978, 1.6990, 1.6963, 1.6990, 1.6960, 1.6954, 1.6986, 1.6960, 1.6973, 1.7001
139950080.00, 16, 16, 1.5691, 1.5618, 1.5600, 1.5662, 1.5688, 1.5689, 1.5714, 1.5711, 1.5706, 1.5731
139950080.00, 16, 24, 1.5207, 1.5169, 1.5227, 1.5169, 1.5188, 1.5153, 1.5126, 1.5138, 1.5083, 1.5167
139950080.00, 16, 32, 1.4925, 1.4903, 1.4925, 1.4931, 1.4933, 1.4889, 1.4894, 1.4966, 1.4875, 1.4853
139950080.00, 16, 40, 1.4696, 1.4730, 1.4696, 1.4674, 1.4768, 1.4736, 1.4756, 1.4710, 1.4724, 1.4748
139950080.00, 16, 48, 1.4641, 1.4626, 1.4632, 1.4610, 1.4626, 1.4623, 1.4631, 1.4660, 1.4626, 1.4619
139950080.00, 16, 56, 1.4548, 1.4563, 1.4547, 1.4556, 1.4548, 1.4540, 1.4545, 1.4577, 1.4548, 1.4563
139950080.00, 16, 64, 1.4489, 1.4474, 1.4485, 1.4493, 1.4478, 1.4481, 1.5387, 1.4943, 1.4496, 1.4504
139950080.00, 16, 72, 1.4442, 1.4449, 1.4471, 1.4448, 1.4481, 1.4470, 1.4463, 1.4456, 1.4496, 1.4435
139950080.00, 16, 80, 1.4408, 1.4403, 1.4402, 1.4418, 1.4402, 1.4394, 1.4416, 1.4405, 1.4394, 1.4375
139950080.00, 16, 88, 1.4366, 1.4386, 1.4374, 1.4369, 1.4371, 1.4366, 1.4373, 1.4384, 1.4365, 1.4365
139950080.00, 16, 96, 1.4359, 1.4368, 1.4354, 1.4365, 1.4371, 1.4378, 1.4364, 1.4375, 1.4365, 1.4368
139950080.00, 16, 104, 1.4342, 1.4330, 1.4336, 1.4343, 1.4325, 1.4343, 1.4328, 1.4342, 1.4321, 1.4313
139950080.00, 16, 112, 1.4331, 1.4339, 1.4344, 1.4330, 1.4320, 1.4320, 1.4322, 1.4324, 1.4311, 1.4325
139950080.00, 16, 120, 1.4281, 1.4297, 1.4302, 1.4305, 1.4279, 1.4282, 1.4291, 1.4287, 1.4297, 1.4282
139950080.00, 16, 128, 1.4296, 1.4287, 1.4320, 1.4276, 1.4303, 1.4302, 1.4296, 1.4287, 1.4285, 1.4305
139950080.00, 24, 0, 3.3780, 3.3777, 3.3787, 3.3786, 3.3785, 3.3783, 3.3781, 3.3775, 3.3499, 3.3766
139950080.00, 24, 8, 1.7862, 1.7848, 1.7855, 1.7860, 1.7858, 1.7858, 1.7850, 1.7856, 1.7858, 1.7859
139950080.00, 24, 16, 1.6586, 1.6572, 1.6577, 1.6578, 1.6571, 1.6579, 1.6575, 1.6571, 1.6573, 1.6583
139950080.00, 24, 24, 1.6194, 1.6192, 1.6189, 1.6187, 1.6192, 1.6185, 1.6191, 1.6194, 1.6190, 1.6195
139950080.00, 24, 32, 1.5961, 1.5936, 1.5960, 1.5919, 1.5906, 1.5961, 1.5974, 1.5968, 1.5975, 1.5971
139950080.00, 24, 40, 1.5764, 1.5757, 1.5752, 1.5753, 1.5756, 1.5765, 1.5746, 1.5759, 1.5759, 1.5754
139950080.00, 24, 48, 1.5641, 1.5649, 1.5657, 1.5651, 1.5649, 1.5638, 1.5637, 1.5633, 1.5639, 1.5638
139950080.00, 24, 56, 1.5597, 1.5596, 1.5593, 1.5595, 1.5594, 1.5593, 1.5597, 1.5591, 1.5593, 1.5591
