sum,A,B,t0
2792901376.00, 0, 0, 10.6316
2792901376.00, 0, 8, 10.6316
2792901376.00, 0, 16, 10.6544
2792901376.00, 0, 24, 10.6327
2792901376.00, 0, 32, 10.6300
2792901376.00, 0, 40, 10.6463
2792901376.00, 0, 48, 10.6447
2792901376.00, 0, 56, 10.6398
2792901376.00, 0, 64, 10.6509
2792901376.00, 0, 72, 10.6525
2792901376.00, 0, 80, 10.6633
2792901376.00, 0, 88, 10.6536
2792901376.00, 0, 96, 10.6727
2792901376.00, 0, 104, 10.6709
2792901376.00, 0, 112, 10.6767
2792901376.00, 0, 120, 10.6756
2792901376.00, 0, 128, 10.6661
2792901376.00, 8, 0, 10.6710
2792901376.00, 8, 8, 5.3039
2792901376.00, 8, 16, 5.9349
2792901376.00, 8, 24, 5.8178
2792901376.00, 8, 32, 5.5644
2792901376.00, 8, 40, 5.4830
2792901376.00, 8, 48, 5.3385
2792901376.00, 8, 56, 5.2885
2792901376.00, 8, 64, 5.2528
2792901376.00, 8, 72, 5.2280
2792901376.00, 8, 80, 5.2080
2792901376.00, 8, 88, 5.2038
2792901376.00, 8, 96, 5.1677
2792901376.00, 8, 104, 5.1627
2792901376.00, 8, 112, 5.1431
2792901376.00, 8, 120, 5.1346
2792901376.00, 8, 128, 5.1252
2792901376.00, 16, 0, 10.6634
2792901376.00, 16, 8, 5.3070
2792901376.00, 16, 16, 5.1147
2792901376.00, 16, 24, 5.0695
2792901376.00, 16, 32, 4.9586
2792901376.00, 16, 40, 4.9316
2792901376.00, 16, 48, 4.8654
2792901376.00, 16, 56, 4.8523
2792901376.00, 16, 64, 4.8294
2792901376.00, 16, 72, 4.8187
2792901376.00, 16, 80, 4.8041
2792901376.00, 16, 88, 4.8033
2792901376.00, 16, 96, 4.7885
2792901376.00, 16, 104, 4.7861
2792901376.00, 16, 112, 4.7752
2792901376.00, 16, 120, 4.7676
2792901376.00, 16, 128, 4.7616
2792901376.00, 24, 0, 10.6687
2792901376.00, 24, 8, 5.0512
2792901376.00, 24, 16, 4.8584
2792901376.00, 24, 24, 4.8452
2792901376.00, 24, 32, 4.7715
2792901376.00, 24, 40, 4.7570
2792901376.00, 24, 48, 4.7087
2792901376.00, 24, 56, 4.6996
2792901376.00, 24, 64, 4.6868
2792901376.00, 24, 72, 4.6814
2792901376.00, 24, 80, 4.6728
2792901376.00, 24, 88, 4.6721
2792901376.00, 24, 96, 4.6626
2792901376.00, 24, 104, 4.6599
2792901376.00, 24, 112, 4.6524
2792901376.00, 24, 120, 4.6487
2792901376.00, 24, 128, 4.6440
2792901376.00, 32, 0, 10.6612
2792901376.00, 32, 8, 4.9774
2792901376.00, 32, 16, 4.7808
2792901376.00, 32, 24, 4.7552
2792901376.00, 32, 32, 4.6945
2792901376.00, 32, 40, 4.6721
2792901376.00, 32, 48, 4.6413
2792901376.00, 32, 56, 4.6359
2792901376.00, 32, 64, 4.6252
2792901376.00, 32, 72, 4.6200
2792901376.00, 32, 80, 4.6144
2792901376.00, 32, 88, 4.6117
2792901376.00, 32, 96, 4.6063
2792901376.00, 32, 104, 4.6040
2792901376.00, 32, 112, 4.5965
2792901376.00, 32, 120, 4.5938
2792901376.00, 32, 128, 4.5887
2792901376.00, 40, 0, 10.6643
2792901376.00, 40, 8, 5.7687
2792901376.00, 40, 16, 5.6486
2792901376.00, 40, 24, 5.6168
2792901376.00, 40, 32, 5.5947
2792901376.00, 40, 40, 5.5763
2792901376.00, 40, 48, 5.5644
2792901376.00, 40, 56, 5.5559
2792901376.00, 40, 64, 5.5510
2792901376.00, 40, 72, 5.5506
2792901376.00, 40, 80, 5.5469
2792901376.00, 40, 88, 5.5462
2792901376.00, 40, 96, 5.5419
2792901376.00, 40, 104, 5.5425
2792901376.00, 40, 112, 5.5429
2792901376.00, 40, 120, 5.5451
2792901376.00, 40, 128, 5.5484
2792901376.00, 48, 0, 10.6702
2792901376.00, 48, 8, 6.4837
2792901376.00, 48, 16, 6.4015
2792901376.00, 48, 24, 6.3785
2792901376.00, 48, 32, 6.3646
2792901376.00, 48, 40, 6.3538
2792901376.00, 48, 48, 6.3493
2792901376.00, 48, 56, 6.3449
2792901376.00, 48, 64, 6.3430
2792901376.00, 48, 72, 6.3451
2792901376.00, 48, 80, 6.3435
2792901376.00, 48, 88, 6.3608
2792901376.00, 48, 96, 6.3746
2792901376.00, 48, 104, 6.3875
2792901376.00, 48, 112, 6.3859
2792901376.00, 48, 120, 6.3938
2792901376.00, 48, 128, 6.3986
2792901376.00, 56, 0, 10.6786
2792901376.00, 56, 8, 6.4592
2792901376.00, 56, 16, 6.3889
2792901376.00, 56, 24, 6.3654
2792901376.00, 56, 32, 6.3502
2792901376.00, 56, 40, 6.3424
2792901376.00, 56, 48, 6.3365
2792901376.00, 56, 56, 6.3349
2792901376.00, 56, 64, 6.3353
2792901376.00, 56, 72, 6.3380
2792901376.00, 56, 80, 6.3463
2792901376.00, 56, 88, 6.3652
2792901376.00, 56, 96, 6.3827
2792901376.00, 56, 104, 6.3857
2792901376.00, 56, 112, 6.3875
2792901376.00, 56, 120, 6.3993
2792901376.00, 56, 128, 6.4181
2792901376.00, 64, 0, 10.6820
2792901376.00, 64, 8, 6.4857
2792901376.00, 64, 16, 6.4099
2792901376.00, 64, 24, 6.3879
2792901376.00, 64, 32, 6.3722
2792901376.00, 64, 40, 6.3658
2792901376.00, 64, 48, 6.3603
2792901376.00, 64, 56, 6.3631
2792901376.00, 64, 64, 6.3634
2792901376.00, 64, 72, 6.3806
2792901376.00, 64, 80, 6.3938
2792901376.00, 64, 88, 6.3993
2792901376.00, 64, 96, 6.4070
