sum,A,B,t0
2792901376.00, 0, 0, 4.1962
2792901376.00, 0, 8, 4.1248
2792901376.00, 0, 16, 4.0996
2792901376.00, 0, 24, 4.1287
2792901376.00, 0, 32, 4.1328
2792901376.00, 0, 40, 4.2157
2792901376.00, 0, 48, 4.1977
2792901376.00, 0, 56, 4.1719
2792901376.00, 0, 64, 4.1349
2792901376.00, 0, 72, 4.1104
2792901376.00, 0, 80, 4.1414
2792901376.00, 0, 88, 4.1749
2792901376.00, 0, 96, 4.7457
2792901376.00, 0, 104, 4.3986
2792901376.00, 0, 112, 4.3087
2792901376.00, 0, 120, 4.3027
2792901376.00, 0, 128, 4.3593
2792901376.00, 8, 0, 4.4354
2792901376.00, 8, 8, 6.1212
2792901376.00, 8, 16, 6.3164
2792901376.00, 8, 24, 6.2339
2792901376.00, 8, 32, 6.1033
2792901376.00, 8, 40, 6.0028
2792901376.00, 8, 48, 5.9969
2792901376.00, 8, 56, 5.9835
2792901376.00, 8, 64, 5.9774
2792901376.00, 8, 72, 5.9489
2792901376.00, 8, 80, 6.0727
2792901376.00, 8, 88, 6.1369
2792901376.00, 8, 96, 5.9385
2792901376.00, 8, 104, 5.8737
2792901376.00, 8, 112, 5.8988
2792901376.00, 8, 120, 5.9730
2792901376.00, 8, 128, 5.9836
2792901376.00, 16, 0, 4.3350
2792901376.00, 16, 8, 6.6443
2792901376.00, 16, 16, 6.4655
2792901376.00, 16, 24, 6.4409
2792901376.00, 16, 32, 6.4234
2792901376.00, 16, 40, 6.3808
2792901376.00, 16, 48, 6.3597
2792901376.00, 16, 56, 6.3719
2792901376.00, 16, 64, 6.3117
2792901376.00, 16, 72, 6.3658
2792901376.00, 16, 80, 6.3725
2792901376.00, 16, 88, 6.2982
2792901376.00, 16, 96, 6.4537
2792901376.00, 16, 104, 6.4699
2792901376.00, 16, 112, 6.2894
2792901376.00, 16, 120, 6.3286
2792901376.00, 16, 128, 6.2200
2792901376.00, 24, 0, 4.3354
2792901376.00, 24, 8, 7.6498
2792901376.00, 24, 16, 7.5084
2792901376.00, 24, 24, 7.3840
2792901376.00, 24, 32, 7.2606
2792901376.00, 24, 40, 7.2395
2792901376.00, 24, 48, 7.2496
2792901376.00, 24, 56, 7.2927
2792901376.00, 24, 64, 7.2760
2792901376.00, 24, 72, 7.4903
2792901376.00, 24, 80, 7.6231
2792901376.00, 24, 88, 7.3877
2792901376.00, 24, 96, 7.3125
2792901376.00, 24, 104, 7.3872
2792901376.00, 24, 112, 7.3585
2792901376.00, 24, 120, 7.2925
2792901376.00, 24, 128, 7.2705
2792901376.00, 32, 0, 4.2250
2792901376.00, 32, 8, 7.9888
2792901376.00, 32, 16, 7.8894
2792901376.00, 32, 24, 7.9900
2792901376.00, 32, 32, 7.9771
2792901376.00, 32, 40, 11.6649
2792901376.00, 32, 48, 10.4814
2792901376.00, 32, 56, 7.9912
2792901376.00, 32, 64, 7.7790
2792901376.00, 32, 72, 7.6555
2792901376.00, 32, 80, 8.0949
2792901376.00, 32, 88, 7.8819
2792901376.00, 32, 96, 7.6916
2792901376.00, 32, 104, 7.7156
2792901376.00, 32, 112, 7.7277
2792901376.00, 32, 120, 7.7568
2792901376.00, 32, 128, 7.7185
2792901376.00, 40, 0, 4.1443
2792901376.00, 40, 8, 10.0975
2792901376.00, 40, 16, 10.0722
2792901376.00, 40, 24, 10.0227
2792901376.00, 40, 32, 10.0174
2792901376.00, 40, 40, 10.4028
2792901376.00, 40, 48, 10.2233
2792901376.00, 40, 56, 10.0496
2792901376.00, 40, 64, 9.9707
2792901376.00, 40, 72, 10.0644
2792901376.00, 40, 80, 9.9966
2792901376.00, 40, 88, 10.6701
2792901376.00, 40, 96, 13.2961
2792901376.00, 40, 104, 12.2893
2792901376.00, 40, 112, 10.6179
2792901376.00, 40, 120, 10.3961
2792901376.00, 40, 128, 10.0188
2792901376.00, 48, 0, 4.3252
2792901376.00, 48, 8, 10.9813
2792901376.00, 48, 16, 10.9337
2792901376.00, 48, 24, 10.9913
2792901376.00, 48, 32, 11.3945
2792901376.00, 48, 40, 11.7756
2792901376.00, 48, 48, 13.4237
2792901376.00, 48, 56, 15.8632
2792901376.00, 48, 64, 12.0636
2792901376.00, 48, 72, 11.8653
2792901376.00, 48, 80, 10.6420
2792901376.00, 48, 88, 10.6252
2792901376.00, 48, 96, 10.6423
2792901376.00, 48, 104, 10.7083
2792901376.00, 48, 112, 10.6102
2792901376.00, 48, 120, 10.5898
2792901376.00, 48, 128, 10.5950
2792901376.00, 56, 0, 4.1447
2792901376.00, 56, 8, 10.3074
2792901376.00, 56, 16, 10.2096
2792901376.00, 56, 24, 10.2158
2792901376.00, 56, 32, 10.3072
2792901376.00, 56, 40, 10.1240
2792901376.00, 56, 48, 10.1702
2792901376.00, 56, 56, 10.1408
2792901376.00, 56, 64, 10.1744
2792901376.00, 56, 72, 10.1473
2792901376.00, 56, 80, 10.1428
2792901376.00, 56, 88, 10.3185
2792901376.00, 56, 96, 10.1442
2792901376.00, 56, 104, 10.1611
2792901376.00, 56, 112, 10.2334
2792901376.00, 56, 120, 10.1926
2792901376.00, 56, 128, 10.7164
2792901376.00, 64, 0, 4.4887
2792901376.00, 64, 8, 10.8791
2792901376.00, 64, 16, 10.8671
2792901376.00, 64, 24, 11.4978
2792901376.00, 64, 32, 11.4573
2792901376.00, 64, 40, 11.5015
2792901376.00, 64, 48, 11.5697
2792901376.00, 64, 56, 11.5950
2792901376.00, 64, 64, 10.8508
2792901376.00, 64, 72, 10.7910
2792901376.00, 64, 80, 10.8157
2792901376.00, 64, 88, 10.8858
2792901376.00, 64, 96, 10.8305
2792901376.00, 64, 104, 10.5710
2792901376.00, 64, 112, 10.5987
2792901376.00, 64, 120, 10.7226
2792901376.00, 64, 128, 10.7095
2792901376.00, 72, 0, 4.0991
2792901376.00, 72, 8, 10.4959
2792901376.00, 72, 16, 10.4898
2792901376.00, 72, 24, 10.4374
2792901376.00, 72, 32, 10.4570
2792901376.00, 72, 40, 10.5665
2792901376.00, 72, 48, 10.4248
2792901376.00, 72, 56, 10.5147
2792901376.00, 72, 64, 10.4506
2792901376.00, 72, 72, 10.5060
2792901376.00, 72, 80, 10.5237
2792901376.00, 72, 88, 10.5901
2792901376.00, 72, 96, 10.5988
2792901376.00, 72, 104, 10.9984
2792901376.00, 72, 112, 10.7765
2792901376.00, 72, 120, 11.4008
2792901376.00, 72, 128, 11.1024
2792901376.00, 80, 0, 4.3119
2792901376.00, 80, 8, 10.7888
2792901376.00, 80, 16, 10.7226
2792901376.00, 80, 24, 10.9304
2792901376.00, 80, 32, 11.3469
2792901376.00, 80, 40, 11.1861
2792901376.00, 80, 48, 10.9422
2792901376.00, 80, 56, 10.6607
2792901376.00, 80, 64, 10.4270
2792901376.00, 80, 72, 10.6690
2792901376.00, 80, 80, 10.6202
2792901376.00, 80, 88, 10.7768
2792901376.00, 80, 96, 10.6493
2792901376.00, 80, 104, 10.6635
2792901376.00, 80, 112, 10.4680
2792901376.00, 80, 120, 10.5694
2792901376.00, 80, 128, 10.4787
2792901376.00, 88, 0, 4.4754
2792901376.00, 88, 8, 10.7231
2792901376.00, 88, 16, 10.5472
2792901376.00, 88, 24, 11.3831
2792901376.00, 88, 32, 11.4641
2792901376.00, 88, 40, 11.6261
