sum,A,B,t0
2792901376.00, 0, 0, 417.2660
2792901376.00, 0, 8, 417.2629
2792901376.00, 0, 16, 417.2827
2792901376.00, 0, 24, 417.2850
2792901376.00, 0, 32, 417.2749
2792901376.00, 0, 40, 417.2867
2792901376.00, 0, 48, 417.2239
2792901376.00, 0, 56, 417.2433
2792901376.00, 0, 64, 417.2830
2792901376.00, 0, 72, 417.2406
2792901376.00, 0, 80, 417.3448
2792901376.00, 0, 88, 417.3098
2792901376.00, 0, 96, 417.2704
2792901376.00, 0, 104, 417.2190
2792901376.00, 0, 112, 417.2590
2792901376.00, 0, 120, 417.2517
2792901376.00, 0, 128, 417.2477
2792901376.00, 8, 0, 417.2430
2792901376.00, 8, 8, 39.0713
2792901376.00, 8, 16, 30.9931
2792901376.00, 8, 24, 28.5231
2792901376.00, 8, 32, 27.2629
2792901376.00, 8, 40, 26.5238
2792901376.00, 8, 48, 26.2091
2792901376.00, 8, 56, 26.2097
2792901376.00, 8, 64, 25.8946
2792901376.00, 8, 72, 25.7453
2792901376.00, 8, 80, 25.6677
2792901376.00, 8, 88, 25.2626
2792901376.00, 8, 96, 24.9271
2792901376.00, 8, 104, 24.9144
2792901376.00, 8, 112, 24.8430
2792901376.00, 8, 120, 24.8091
2792901376.00, 8, 128, 24.7937
2792901376.00, 16, 0, 417.2861
2792901376.00, 16, 8, 42.0954
2792901376.00, 16, 16, 36.5649
2792901376.00, 16, 24, 34.5950
2792901376.00, 16, 32, 33.8097
2792901376.00, 16, 40, 33.0751
2792901376.00, 16, 48, 32.6515
2792901376.00, 16, 56, 32.3578
2792901376.00, 16, 64, 32.3591
2792901376.00, 16, 72, 32.1668
2792901376.00, 16, 80, 32.0425
2792901376.00, 16, 88, 31.9680
2792901376.00, 16, 96, 31.9032
2792901376.00, 16, 104, 31.8609
2792901376.00, 16, 112, 31.8306
2792901376.00, 16, 120, 31.7723
2792901376.00, 16, 128, 31.7535
2792901376.00, 24, 0, 417.2332
2792901376.00, 24, 8, 95.3056
2792901376.00, 24, 16, 92.0528
2792901376.00, 24, 24, 90.8648
2792901376.00, 24, 32, 90.3051
2792901376.00, 24, 40, 89.7480
2792901376.00, 24, 48, 89.4167
2792901376.00, 24, 56, 89.2190
2792901376.00, 24, 64, 89.1186
2792901376.00, 24, 72, 88.9327
2792901376.00, 24, 80, 88.8819
2792901376.00, 24, 88, 88.7994
2792901376.00, 24, 96, 88.7829
2792901376.00, 24, 104, 88.7287
2792901376.00, 24, 112, 88.7350
2792901376.00, 24, 120, 88.6358
2792901376.00, 24, 128, 88.6575
2792901376.00, 32, 0, 417.2435
2792901376.00, 32, 8, 95.4426
2792901376.00, 32, 16, 92.4897
2792901376.00, 32, 24, 91.3588
2792901376.00, 32, 32, 90.8629
2792901376.00, 32, 40, 90.2878
2792901376.00, 32, 48, 90.0216
2792901376.00, 32, 56, 89.7876
2792901376.00, 32, 64, 89.7170
2792901376.00, 32, 72, 89.5915
2792901376.00, 32, 80, 89.5333
2792901376.00, 32, 88, 89.4627
2792901376.00, 32, 96, 89.4062
2792901376.00, 32, 104, 89.3742
2792901376.00, 32, 112, 89.3704
2792901376.00, 32, 120, 89.2895
2792901376.00, 32, 128, 89.2746
2792901376.00, 40, 0, 417.2516
2792901376.00, 40, 8, 95.6233
2792901376.00, 40, 16, 92.7192
2792901376.00, 40, 24, 91.6466
2792901376.00, 40, 32, 91.2052
2792901376.00, 40, 40, 90.6819
2792901376.00, 40, 48, 90.3274
2792901376.00, 40, 56, 90.1245
2792901376.00, 40, 64, 90.0336
2792901376.00, 40, 72, 89.9444
2792901376.00, 40, 80, 89.8686
2792901376.00, 40, 88, 89.8088
2792901376.00, 40, 96, 89.7536
2792901376.00, 40, 104, 89.7246
2792901376.00, 40, 112, 89.6923
2792901376.00, 40, 120, 89.6400
2792901376.00, 40, 128, 89.6333
2792901376.00, 48, 0, 417.2409
2792901376.00, 48, 8, 95.9314
2792901376.00, 48, 16, 93.1299
2792901376.00, 48, 24, 92.1140
2792901376.00, 48, 32, 91.6754
2792901376.00, 48, 40, 91.1303
2792901376.00, 48, 48, 90.8235
2792901376.00, 48, 56, 90.6413
2792901376.00, 48, 64, 90.5522
