sum,A,B,t0
2792901376.00, 0, 0, 76.1868
2792901376.00, 0, 8, 76.1808
2792901376.00, 0, 16, 76.1674
2792901376.00, 0, 24, 76.1720
2792901376.00, 0, 32, 76.1823
2792901376.00, 0, 40, 76.1694
2792901376.00, 0, 48, 76.1848
2792901376.00, 0, 56, 76.1799
2792901376.00, 0, 64, 76.1711
2792901376.00, 0, 72, 76.1756
2792901376.00, 0, 80, 76.1804
2792901376.00, 0, 88, 76.1785
2792901376.00, 0, 96, 76.1771
2792901376.00, 0, 104, 76.1820
2792901376.00, 0, 112, 76.1783
2792901376.00, 0, 120, 76.1810
2792901376.00, 0, 128, 76.1845
2792901376.00, 8, 0, 76.1752
2792901376.00, 8, 8, 10.1342
2792901376.00, 8, 16, 10.3995
2792901376.00, 8, 24, 11.6906
2792901376.00, 8, 32, 12.4642
2792901376.00, 8, 40, 11.2989
2792901376.00, 8, 48, 11.0915
2792901376.00, 8, 56, 11.1602
2792901376.00, 8, 64, 11.1757
2792901376.00, 8, 72, 11.0233
2792901376.00, 8, 80, 10.9750
2792901376.00, 8, 88, 11.0417
2792901376.00, 8, 96, 10.9896
2792901376.00, 8, 104, 10.9401
2792901376.00, 8, 112, 10.9262
2792901376.00, 8, 120, 10.9596
2792901376.00, 8, 128, 10.9459
2792901376.00, 16, 0, 76.1821
2792901376.00, 16, 8, 10.1393
2792901376.00, 16, 16, 9.7480
2792901376.00, 16, 24, 10.0994
2792901376.00, 16, 32, 10.7650
2792901376.00, 16, 40, 10.2911
2792901376.00, 16, 48, 10.1433
2792901376.00, 16, 56, 10.0924
2792901376.00, 16, 64, 10.2009
2792901376.00, 16, 72, 10.1116
2792901376.00, 16, 80, 10.1041
2792901376.00, 16, 88, 10.0627
2792901376.00, 16, 96, 10.1006
2792901376.00, 16, 104, 10.0666
2792901376.00, 16, 112, 10.0638
2792901376.00, 16, 120, 10.0485
2792901376.00, 16, 128, 10.0810
2792901376.00, 24, 0, 76.1666
2792901376.00, 24, 8, 9.8818
2792901376.00, 24, 16, 9.5735
2792901376.00, 24, 24, 9.7876
