sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 0.0541, 0.0543, 0.0542, 0.0543, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 8, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 16, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 24, 0.0541, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0541
139950080.00, 0, 32, 0.0543, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0543, 0.0542, 0.0542
139950080.00, 0, 40, 0.0542, 0.0541, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 48, 0.0542, 0.0546, 0.0542, 0.0542, 0.0542, 0.0541, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 56, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0543, 0.0542, 0.0542, 0.0542
139950080.00, 0, 64, 0.0542, 0.0542, 0.0541, 0.0542, 0.0541, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 72, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 80, 0.0542, 0.0543, 0.0542, 0.0542, 0.0544, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 88, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0541, 0.0542, 0.0542
139950080.00, 0, 96, 0.0543, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0541, 0.0542
139950080.00, 0, 104, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 112, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0541, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 120, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 0, 128, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 8, 0, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 8, 8, 0.2388, 0.2387, 0.2388, 0.2390, 0.2387, 0.2388, 0.2387, 0.2389, 0.2388, 0.2388
139950080.00, 8, 16, 0.2543, 0.2543, 0.2545, 0.2543, 0.2543, 0.2543, 0.2543, 0.2543, 0.2544, 0.2543
139950080.00, 8, 24, 0.2494, 0.2493, 0.2493, 0.2493, 0.2494, 0.2494, 0.2494, 0.2493, 0.2494, 0.2493
139950080.00, 8, 32, 0.2439, 0.2438, 0.2440, 0.2439, 0.2439, 0.2440, 0.2440, 0.2439, 0.2439, 0.2439
139950080.00, 8, 40, 0.2418, 0.2418, 0.2417, 0.2416, 0.2417, 0.2417, 0.2417, 0.2417, 0.2417, 0.2419
139950080.00, 8, 48, 0.2412, 0.2412, 0.2412, 0.2412, 0.2411, 0.2411, 0.2411, 0.2412, 0.2412, 0.2412
139950080.00, 8, 56, 0.2392, 0.2393, 0.2392, 0.2392, 0.2392, 0.2393, 0.2392, 0.2392, 0.2393, 0.2392
139950080.00, 8, 64, 0.2389, 0.2388, 0.2388, 0.2388, 0.2389, 0.2388, 0.2388, 0.2387, 0.2388, 0.2387
139950080.00, 8, 72, 0.2378, 0.2378, 0.2378, 0.2378, 0.2378, 0.2379, 0.2378, 0.2377, 0.2377, 0.2377
139950080.00, 8, 80, 0.2372, 0.2372, 0.2373, 0.2374, 0.2374, 0.2373, 0.2372, 0.2372, 0.2372, 0.2373
139950080.00, 8, 88, 0.2373, 0.2373, 0.2373, 0.2371, 0.2371, 0.2371, 0.2371, 0.2372, 0.2371, 0.2373
139950080.00, 8, 96, 0.2369, 0.2368, 0.2368, 0.2368, 0.2368, 0.2369, 0.2369, 0.2372, 0.2369, 0.2370
139950080.00, 8, 104, 0.2366, 0.2365, 0.2365, 0.2365, 0.2365, 0.2365, 0.2365, 0.2365, 0.2366, 0.2366
139950080.00, 8, 112, 0.2364, 0.2363, 0.2363, 0.2363, 0.2364, 0.2363, 0.2365, 0.2366, 0.2363, 0.2363
139950080.00, 8, 120, 0.2358, 0.2359, 0.2359, 0.2358, 0.2360, 0.2358, 0.2358, 0.2358, 0.2358, 0.2358
139950080.00, 8, 128, 0.2360, 0.2361, 0.2363, 0.2361, 0.2361, 0.2360, 0.2360, 0.2360, 0.2360, 0.2360
139950080.00, 16, 0, 0.0541, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0543, 0.0542, 0.0543, 0.0542
139950080.00, 16, 8, 0.2440, 0.2439, 0.2440, 0.2440, 0.2440, 0.2440, 0.2440, 0.2441, 0.2440, 0.2440
139950080.00, 16, 16, 0.2334, 0.2334, 0.2334, 0.2334, 0.2335, 0.2334, 0.2334, 0.2334, 0.2335, 0.2336
139950080.00, 16, 24, 0.2295, 0.2296, 0.2297, 0.2296, 0.2298, 0.2296, 0.2296, 0.2295, 0.2295, 0.2295
139950080.00, 16, 32, 0.2277, 0.2278, 0.2277, 0.2277, 0.2278, 0.2278, 0.2278, 0.2277, 0.2278, 0.2278
139950080.00, 16, 40, 0.2268, 0.2268, 0.2267, 0.2267, 0.2266, 0.2267, 0.2267, 0.2268, 0.2267, 0.2267
139950080.00, 16, 48, 0.2260, 0.2260, 0.2260, 0.2260, 0.2260, 0.2259, 0.2261, 0.2259, 0.2261, 0.2261
139950080.00, 16, 56, 0.2255, 0.2258, 0.2256, 0.2255, 0.2256, 0.2256, 0.2256, 0.2256, 0.2254, 0.2256
139950080.00, 16, 64, 0.2252, 0.2250, 0.2251, 0.2252, 0.2251, 0.2250, 0.2250, 0.2252, 0.2250, 0.2250
139950080.00, 16, 72, 0.2249, 0.2252, 0.2248, 0.2247, 0.2250, 0.2248, 0.2248, 0.2249, 0.2247, 0.2248
139950080.00, 16, 80, 0.2245, 0.2245, 0.2248, 0.2247, 0.2245, 0.2248, 0.2245, 0.2246, 0.2245, 0.2245
139950080.00, 16, 88, 0.2243, 0.2244, 0.2245, 0.2244, 0.2244, 0.2245, 0.2245, 0.2246, 0.2244, 0.2243
139950080.00, 16, 96, 0.2244, 0.2247, 0.2246, 0.2246, 0.2246, 0.2246, 0.2247, 0.2245, 0.2247, 0.2246
139950080.00, 16, 104, 0.2245, 0.2245, 0.2244, 0.2244, 0.2244, 0.2243, 0.2243, 0.2243, 0.2245, 0.2244
139950080.00, 16, 112, 0.2245, 0.2245, 0.2245, 0.2245, 0.2245, 0.2245, 0.2244, 0.2244, 0.2245, 0.2245
139950080.00, 16, 120, 0.2242, 0.2241, 0.2242, 0.2241, 0.2242, 0.2243, 0.2242, 0.2495, 0.2243, 0.2242
139950080.00, 16, 128, 0.2243, 0.2242, 0.2243, 0.2241, 0.2242, 0.2242, 0.2242, 0.2243, 0.2242, 0.2243
139950080.00, 24, 0, 0.0542, 0.0542, 0.0543, 0.0543, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 24, 8, 0.2383, 0.2381, 0.2382, 0.2383, 0.2382, 0.2382, 0.2381, 0.2382, 0.2382, 0.2382
139950080.00, 24, 16, 0.2283, 0.2282, 0.2282, 0.2283, 0.2282, 0.2282, 0.2282, 0.2283, 0.2282, 0.2282
139950080.00, 24, 24, 0.2255, 0.2253, 0.2253, 0.2252, 0.2253, 0.2253, 0.2253, 0.2253, 0.2253, 0.2254
139950080.00, 24, 32, 0.2239, 0.2238, 0.2238, 0.2238, 0.2238, 0.2239, 0.2238, 0.2238, 0.2239, 0.2238
139950080.00, 24, 40, 0.2230, 0.2232, 0.2228, 0.2230, 0.2229, 0.2230, 0.2233, 0.2228, 0.2229, 0.2229
139950080.00, 24, 48, 0.2223, 0.2223, 0.2222, 0.2223, 0.2223, 0.2223, 0.2224, 0.2225, 0.2224, 0.2223
139950080.00, 24, 56, 0.2219, 0.2218, 0.2218, 0.2219, 0.2219, 0.2219, 0.2218, 0.2219, 0.2218, 0.2218
139950080.00, 24, 64, 0.2215, 0.2214, 0.2215, 0.2215, 0.2216, 0.2215, 0.2215, 0.2215, 0.2215, 0.2215
139950080.00, 24, 72, 0.2213, 0.2214, 0.2213, 0.2213, 0.2231, 0.2213, 0.2212, 0.2213, 0.2215, 0.2214
139950080.00, 24, 80, 0.2212, 0.2219, 0.2219, 0.2213, 0.2215, 0.2213, 0.2214, 0.2214, 0.2223, 0.2216
139950080.00, 24, 88, 0.2213, 0.2213, 0.2211, 0.2211, 0.2209, 0.2209, 0.2209, 0.2209, 0.2209, 0.2209
139950080.00, 24, 96, 0.2211, 0.2210, 0.2210, 0.2209, 0.2210, 0.2208, 0.2209, 0.2209, 0.2209, 0.2209
139950080.00, 24, 104, 0.2208, 0.2207, 0.2209, 0.2207, 0.2207, 0.2208, 0.2207, 0.2209, 0.2209, 0.2207
139950080.00, 24, 112, 0.2209, 0.2206, 0.2208, 0.2206, 0.2207, 0.2210, 0.2208, 0.2207, 0.2209, 0.2208
139950080.00, 24, 120, 0.2206, 0.2206, 0.2204, 0.2205, 0.2206, 0.2206, 0.2207, 0.2207, 0.2205, 0.2206
139950080.00, 24, 128, 0.2205, 0.2206, 0.2205, 0.2205, 0.2208, 0.2207, 0.2205, 0.2205, 0.2205, 0.2206
139950080.00, 32, 0, 0.0541, 0.0543, 0.0542, 0.0542, 0.0542, 0.0543, 0.0542, 0.0542, 0.0542, 0.0542
139950080.00, 32, 8, 0.2310, 0.2310, 0.2312, 0.2310, 0.2310, 0.2311, 0.2311, 0.2310, 0.2310, 0.2311
139950080.00, 32, 16, 0.2248, 0.2247, 0.2247, 0.2247, 0.2246, 0.2246, 0.2247, 0.2248, 0.2247, 0.2250
139950080.00, 32, 24, 0.2227, 0.2225, 0.2226, 0.2226, 0.2228, 0.2225, 0.2226, 0.2226, 0.2226, 0.2226
139950080.00, 32, 32, 0.2214, 0.2214, 0.2214, 0.2214, 0.2214, 0.2215, 0.2214, 0.2216, 0.2217, 0.2215
139950080.00, 32, 40, 0.2209, 0.2210, 0.2209, 0.2210, 0.2209, 0.2210, 0.2209, 0.2209, 0.2209, 0.2209
139950080.00, 32, 48, 0.2203, 0.2205, 0.2205, 0.2205, 0.2205, 0.2206, 0.2208, 0.2205, 0.2206, 0.2204
139950080.00, 32, 56, 0.2203, 0.2202, 0.2202, 0.2202, 0.2204, 0.2203, 0.2204, 0.2202, 0.2448, 0.2202
139950080.00, 32, 64, 0.2200, 0.2199, 0.2200, 0.2200, 0.2204, 0.2202, 0.2199, 0.2201, 0.2200, 0.2201
139950080.00, 32, 72, 0.2199, 0.2199, 0.2198, 0.2198, 0.2198, 0.2198, 0.2200, 0.2199, 0.2199, 0.2199
139950080.00, 32, 80, 0.2196, 0.2197, 0.2198, 0.2199, 0.2196, 0.2196, 0.2197, 0.2198, 0.2198, 0.2197
139950080.00, 32, 88, 0.2196, 0.2196, 0.2197, 0.2196, 0.2196, 0.2196, 0.2197, 0.2195, 0.2196, 0.2197
139950080.00, 32, 96, 0.2197, 0.2195, 0.2196, 0.2196, 0.2198, 0.2196, 0.2197, 0.2196, 0.2196, 0.2196
139950080.00, 32, 104, 0.2195, 0.2195, 0.2195, 0.2196, 0.2194, 0.2194, 0.2194, 0.2194, 0.2196, 0.2195
139950080.00, 32, 112, 0.2196, 0.2195, 0.2194, 0.2195, 0.2194, 0.2195, 0.2196, 0.2196, 0.2196, 0.2195
139950080.00, 32, 120, 0.2194, 0.2194, 0.2194, 0.2194, 0.2193, 0.2194, 0.2194, 0.2193, 0.2193, 0.2193
139950080.00, 32, 128, 0.2193, 0.2194, 0.2193, 0.2193, 0.2197, 0.2195, 0.2194, 0.2193, 0.2193, 0.2193
139950080.00, 40, 0, 0.0542, 0.0543, 0.0542, 0.0543, 0.0542, 0.0542, 0.0544, 0.0543, 0.0543, 0.0542
139950080.00, 40, 8, 0.2276, 0.2274, 0.2275, 0.2274, 0.2274, 0.2274, 0.2273, 0.2273, 0.2274, 0.2273
139950080.00, 40, 16, 0.2221, 0.2220, 0.2220, 0.2220, 0.2222, 0.2221, 0.2220, 0.2221, 0.2219, 0.2221
139950080.00, 40, 24, 0.2208, 0.2208, 0.2207, 0.2209, 0.2209, 0.2208, 0.2208, 0.2209, 0.2208, 0.2208
139950080.00, 40, 32, 0.2197, 0.2197, 0.2199, 0.2199, 0.2199, 0.2198, 0.2198, 0.2204, 0.2201, 0.2197
139950080.00, 40, 40, 0.2194, 0.2195, 0.2194, 0.2194, 0.2196, 0.2195, 0.2198, 0.2195, 0.2196, 0.2194
139950080.00, 40, 48, 0.2190, 0.2190, 0.2190, 0.2189, 0.2190, 0.2190, 0.2191, 0.2190, 0.2190, 0.2190
139950080.00, 40, 56, 0.2191, 0.2188, 0.2190, 0.2188, 0.2189, 0.2190, 0.2190, 0.2190, 0.2189, 0.2188
139950080.00, 40, 64, 0.2185, 0.2187, 0.2186, 0.2186, 0.2187, 0.2187, 0.2186, 0.2185, 0.2185, 0.2186
139950080.00, 40, 72, 0.2185, 0.2184, 0.2185, 0.2186, 0.2185, 0.2185, 0.2184, 0.2185, 0.2186, 0.2186
139950080.00, 40, 80, 0.2184, 0.2183, 0.2184, 0.2187, 0.2186, 0.2184, 0.2185, 0.2185, 0.2184, 0.2185
139950080.00, 40, 88, 0.2183, 0.2185, 0.2184, 0.2183, 0.2183, 0.2184, 0.2185, 0.2184, 0.2184, 0.2185
