sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 1.1386, 1.1389, 1.1394, 1.1394, 1.1386, 1.1381, 1.1383, 1.1386, 1.1386, 1.1387
139950080.00, 0, 8, 1.1386, 1.1387, 1.1382, 1.1382, 1.1388, 1.1459, 1.1534, 1.1388, 1.1394, 1.1384
139950080.00, 0, 16, 1.1380, 1.1382, 1.1385, 1.1381, 1.1379, 1.1380, 1.1381, 1.1379, 1.1382, 1.1377
139950080.00, 0, 24, 1.1380, 1.1379, 1.1381, 1.1380, 1.1379, 1.1380, 1.1383, 1.1382, 1.1381, 1.1381
139950080.00, 0, 32, 1.1384, 1.1381, 1.1381, 1.1382, 1.1388, 1.1386, 1.1389, 1.1383, 1.1379, 1.1387
139950080.00, 0, 40, 1.1385, 1.1388, 1.1380, 1.1381, 1.1382, 1.1384, 1.1385, 1.1389, 1.1391, 1.1390
139950080.00, 0, 48, 1.1381, 1.1384, 1.1394, 1.1383, 1.1385, 1.1384, 1.1383, 1.1617, 1.1407, 1.1382
139950080.00, 0, 56, 1.1381, 1.1381, 1.1382, 1.1382, 1.1377, 1.1376, 1.1382, 1.1380, 1.1379, 1.1384
139950080.00, 0, 64, 1.1376, 1.1383, 1.1413, 1.1430, 1.1477, 1.1521, 1.1419, 1.1402, 1.1395, 1.1390
139950080.00, 0, 72, 1.1391, 1.1393, 1.1390, 1.1400, 1.1388, 1.1397, 1.1395, 1.1405, 1.1428, 1.1403
139950080.00, 0, 80, 1.1423, 1.1404, 1.1398, 1.1404, 1.1395, 1.1397, 1.1403, 1.1404, 1.1403, 1.1398
139950080.00, 0, 88, 1.1398, 1.1394, 1.1392, 1.1398, 1.1390, 1.1392, 1.1397, 1.1390, 1.1396, 1.1388
139950080.00, 0, 96, 1.1386, 1.1394, 1.1393, 1.1389, 1.1390, 1.1389, 1.1388, 1.1385, 1.1397, 1.1399
139950080.00, 0, 104, 1.1402, 1.1399, 1.1390, 1.1389, 1.1386, 1.1391, 1.1402, 1.1400, 1.1396, 1.1393
139950080.00, 0, 112, 1.1397, 1.1407, 1.1413, 1.1403, 1.1398, 1.1398, 1.1395, 1.1388, 1.1391, 1.1401
139950080.00, 0, 120, 1.1392, 1.1386, 1.1385, 1.1392, 1.1395, 1.1393, 1.1403, 1.1392, 1.1393, 1.1386
139950080.00, 0, 128, 1.1397, 1.1397, 1.1389, 1.1390, 1.1386, 1.1382, 1.1387, 1.1387, 1.1401, 1.1404
139950080.00, 8, 0, 1.1394, 1.1396, 1.1406, 1.1404, 1.1393, 1.1387, 1.1387, 1.1386, 1.1388, 1.1397
139950080.00, 8, 8, 0.4093, 0.4091, 0.4093, 0.4094, 0.4093, 0.4093, 0.4098, 0.4093, 0.4093, 0.4093
139950080.00, 8, 16, 0.4166, 0.4172, 0.4179, 0.4167, 0.4167, 0.4166, 0.4167, 0.4168, 0.4166, 0.4170
139950080.00, 8, 24, 0.4102, 0.4100, 0.4101, 0.4099, 0.4103, 0.4101, 0.4097, 0.4098, 0.4101, 0.4099
139950080.00, 8, 32, 0.4066, 0.4073, 0.4068, 0.4070, 0.4068, 0.4066, 0.4067, 0.4066, 0.4069, 0.4066
139950080.00, 8, 40, 0.4025, 0.4024, 0.4023, 0.4028, 0.4026, 0.4030, 0.4029, 0.4030, 0.4034, 0.4032
139950080.00, 8, 48, 0.4002, 0.3999, 0.4000, 0.3994, 0.4000, 0.3992, 0.3993, 0.3996, 0.3999, 0.3994
139950080.00, 8, 56, 0.3990, 0.3996, 0.4000, 0.3997, 0.3998, 0.3998, 0.3998, 0.4185, 0.4258, 0.4113
139950080.00, 8, 64, 0.4086, 0.3987, 0.3991, 0.3991, 0.3987, 0.3991, 0.3991, 0.3990, 0.3988, 0.3993
139950080.00, 8, 72, 0.3969, 0.3969, 0.3971, 0.3973, 0.3973, 0.3972, 0.3977, 0.3974, 0.3974, 0.3972
139950080.00, 8, 80, 0.3953, 0.3959, 0.3959, 0.3966, 0.3961, 0.3960, 0.3960, 0.3959, 0.3962, 0.3961
139950080.00, 8, 88, 0.3946, 0.3950, 0.3948, 0.3948, 0.3948, 0.3947, 0.3947, 0.3944, 0.3946, 0.3949
139950080.00, 8, 96, 0.3944, 0.3947, 0.3947, 0.3949, 0.3947, 0.3947, 0.3947, 0.3943, 0.3948, 0.3944
139950080.00, 8, 104, 0.3935, 0.3935, 0.3935, 0.3935, 0.3935, 0.3939, 0.3937, 0.3939, 0.3937, 0.3937
139950080.00, 8, 112, 0.3930, 0.3928, 0.3932, 0.3932, 0.3934, 0.3934, 0.3931, 0.3937, 0.3940, 0.3942
139950080.00, 8, 120, 0.3919, 0.3921, 0.3921, 0.3916, 0.3924, 0.3927, 0.3922, 0.3918, 0.3921, 0.3915
139950080.00, 8, 128, 0.3903, 0.3904, 0.3906, 0.3903, 0.3907, 0.3908, 0.3903, 0.3906, 0.3902, 0.3911
139950080.00, 16, 0, 1.1414, 1.1388, 1.1388, 1.1409, 1.1434, 1.1432, 1.1412, 1.1412, 1.1411, 1.1398
139950080.00, 16, 8, 0.4071, 0.4070, 0.4071, 0.4074, 0.4079, 0.4075, 0.4071, 0.4079, 0.4074, 0.4071
139950080.00, 16, 16, 0.3895, 0.3891, 0.3892, 0.3890, 0.3889, 0.3886, 0.3896, 0.3895, 0.3914, 0.3946
139950080.00, 16, 24, 0.3871, 0.3848, 0.3853, 0.3848, 0.3852, 0.3848, 0.3846, 0.3846, 0.3848, 0.3847
139950080.00, 16, 32, 0.3842, 0.3841, 0.3842, 0.3834, 0.3840, 0.3836, 0.3838, 0.3845, 0.3843, 0.3834
139950080.00, 16, 40, 0.3815, 0.3817, 0.3820, 0.3825, 0.3811, 0.3818, 0.3815, 0.3812, 0.3813, 0.3812
139950080.00, 16, 48, 0.3799, 0.3799, 0.3797, 0.3802, 0.3796, 0.3797, 0.3801, 0.3796, 0.3796, 0.3801
139950080.00, 16, 56, 0.3793, 0.3804, 0.3795, 0.3800, 0.3796, 0.3788, 0.3790, 0.3794, 0.3952, 0.3828
139950080.00, 16, 64, 0.3795, 0.3782, 0.3782, 0.3782, 0.3782, 0.3782, 0.3785, 0.3784, 0.3786, 0.3791
139950080.00, 16, 72, 0.3818, 0.3787, 0.3788, 0.3786, 0.3777, 0.3774, 0.3777, 0.3775, 0.3774, 0.3781
139950080.00, 16, 80, 0.3768, 0.3768, 0.3766, 0.3767, 0.3766, 0.3767, 0.3766, 0.3768, 0.3767, 0.3768
139950080.00, 16, 88, 0.3760, 0.3760, 0.3760, 0.3761, 0.3760, 0.3760, 0.3759, 0.3759, 0.3760, 0.3759
139950080.00, 16, 96, 0.3759, 0.3760, 0.3760, 0.3761, 0.3759, 0.3760, 0.3759, 0.3760, 0.3759, 0.3760
139950080.00, 16, 104, 0.3753, 0.3755, 0.3755, 0.3754, 0.3754, 0.3754, 0.3754, 0.3755, 0.3754, 0.3754
139950080.00, 16, 112, 0.3750, 0.3752, 0.3751, 0.3751, 0.3751, 0.3773, 0.3914, 0.3863, 0.3786, 0.3751
139950080.00, 16, 120, 0.3744, 0.3746, 0.3746, 0.3747, 0.3745, 0.3746, 0.3745, 0.3746, 0.3745, 0.3747
139950080.00, 16, 128, 0.3744, 0.3746, 0.3745, 0.3746, 0.3745, 0.3749, 0.3748, 0.3750, 0.3747, 0.3748
139950080.00, 24, 0, 1.1387, 1.1381, 1.1379, 1.1383, 1.1383, 1.1381, 1.1384, 1.1381, 1.1381, 1.1384
139950080.00, 24, 8, 0.3904, 0.3903, 0.3903, 0.3905, 0.3904, 0.3905, 0.3904, 0.3905, 0.3904, 0.3906
139950080.00, 24, 16, 0.3780, 0.3785, 0.3785, 0.3780, 0.3780, 0.3781, 0.3781, 0.3780, 0.3779, 0.3778
139950080.00, 24, 24, 0.3749, 0.3750, 0.3750, 0.3749, 0.3750, 0.3749, 0.3751, 0.3750, 0.3750, 0.3750
139950080.00, 24, 32, 0.3743, 0.3743, 0.3745, 0.3743, 0.3744, 0.3744, 0.3744, 0.3744, 0.3743, 0.3743
139950080.00, 24, 40, 0.3730, 0.3730, 0.3730, 0.3731, 0.3730, 0.3730, 0.3732, 0.3731, 0.3733, 0.3733
139950080.00, 24, 48, 0.3720, 0.3721, 0.3729, 0.3723, 0.3721, 0.3721, 0.3748, 0.3726, 0.3719, 0.3718
139950080.00, 24, 56, 0.3714, 0.3715, 0.3715, 0.3743, 0.3736, 0.3727, 0.3727, 0.3722, 0.3721, 0.3723
139950080.00, 24, 64, 0.3718, 0.3717, 0.3716, 0.3720, 0.3717, 0.3717, 0.3717, 0.3716, 0.3716, 0.3719
139950080.00, 24, 72, 0.3715, 0.3716, 0.3715, 0.3718, 0.3715, 0.3716, 0.3717, 0.3715, 0.3721, 0.3717
139950080.00, 24, 80, 0.3713, 0.3713, 0.3713, 0.3713, 0.3715, 0.3714, 0.3712, 0.3712, 0.3711, 0.3710
139950080.00, 24, 88, 0.3707, 0.3706, 0.3706, 0.3705, 0.3706, 0.3707, 0.3698, 0.3697, 0.3697, 0.3696
139950080.00, 24, 96, 0.3698, 0.3697, 0.3697, 0.3696, 0.3697, 0.3696, 0.3697, 0.3695, 0.3697, 0.3696
139950080.00, 24, 104, 0.3693, 0.3693, 0.3693, 0.3693, 0.3692, 0.3691, 0.3693, 0.3693, 0.3693, 0.3693
139950080.00, 24, 112, 0.3689, 0.3691, 0.3691, 0.3691, 0.3690, 0.3691, 0.3690, 0.3691, 0.3690, 0.3691
139950080.00, 24, 120, 0.3685, 0.3685, 0.3686, 0.3687, 0.3685, 0.3686, 0.3685, 0.3685, 0.3686, 0.3686
139950080.00, 24, 128, 0.3685, 0.3684, 0.3685, 0.3689, 0.3687, 0.3685, 0.3687, 0.3684, 0.3685, 0.3685
139950080.00, 32, 0, 1.1381, 1.1383, 1.1379, 1.1381, 1.1386, 1.1382, 1.1383, 1.1380, 1.1383, 1.1378
139950080.00, 32, 8, 0.3854, 0.3854, 0.3853, 0.3855, 0.3853, 0.3854, 0.3855, 0.3854, 0.3854, 0.3853
139950080.00, 32, 16, 0.3751, 0.3753, 0.3754, 0.3753, 0.3753, 0.3752, 0.3754, 0.3754, 0.3754, 0.3785
139950080.00, 32, 24, 0.3745, 0.3741, 0.3745, 0.3734, 0.3731, 0.3731, 0.3730, 0.3731, 0.3730, 0.3736
139950080.00, 32, 32, 0.3722, 0.3722, 0.3723, 0.3721, 0.3721, 0.3722, 0.3723, 0.3722, 0.3724, 0.3723
139950080.00, 32, 40, 0.3711, 0.3711, 0.3711, 0.3712, 0.3712, 0.3713, 0.3711, 0.3712, 0.3712, 0.3712
139950080.00, 32, 48, 0.3700, 0.3702, 0.3702, 0.3701, 0.3701, 0.3701, 0.3703, 0.3702, 0.3700, 0.3703
139950080.00, 32, 56, 0.3696, 0.3698, 0.3698, 0.3697, 0.3697, 0.3698, 0.3698, 0.3699, 0.3698, 0.3697
139950080.00, 32, 64, 0.3694, 0.3695, 0.3695, 0.3694, 0.3694, 0.3696, 0.3695, 0.3693, 0.3695, 0.3694
139950080.00, 32, 72, 0.3689, 0.3692, 0.3692, 0.3691, 0.3691, 0.3690, 0.3691, 0.3690, 0.3691, 0.3691
139950080.00, 32, 80, 0.3686, 0.3687, 0.3688, 0.3689, 0.3688, 0.3688, 0.3687, 0.3688, 0.3689, 0.3688
139950080.00, 32, 88, 0.3683, 0.3686, 0.3686, 0.3688, 0.3686, 0.3687, 0.3686, 0.3686, 0.3685, 0.3685
139950080.00, 32, 96, 0.3684, 0.3684, 0.3683, 0.3685, 0.3684, 0.3684, 0.3686, 0.3684, 0.3685, 0.3685
139950080.00, 32, 104, 0.3682, 0.3681, 0.3682, 0.3681, 0.3683, 0.3682, 0.3683, 0.3682, 0.3681, 0.3681
139950080.00, 32, 112, 0.3685, 0.3683, 0.3684, 0.3683, 0.3683, 0.3685, 0.3683, 0.3684, 0.3683, 0.3683
139950080.00, 32, 120, 0.3681, 0.3683, 0.3683, 0.3684, 0.3689, 0.3685, 0.3685, 0.3685, 0.3685, 0.3683
139950080.00, 32, 128, 0.3683, 0.3683, 0.3683, 0.3682, 0.3684, 0.3682, 0.3683, 0.3683, 0.3685, 0.3684
139950080.00, 40, 0, 1.1380, 1.1378, 1.1377, 1.1383, 1.1382, 1.1384, 1.1382, 1.1392, 1.1393, 1.1387
139950080.00, 40, 8, 0.4328, 0.4326, 0.4326, 0.4327, 0.4326, 0.4326, 0.4326, 0.4328, 0.4328, 0.4327
139950080.00, 40, 16, 0.4319, 0.4319, 0.4319, 0.4320, 0.4320, 0.4319, 0.4318, 0.4320, 0.4320, 0.4321
139950080.00, 40, 24, 0.4326, 0.4327, 0.4325, 0.4324, 0.4325, 0.4324, 0.4326, 0.4327, 0.4328, 0.4327
139950080.00, 40, 32, 0.4336, 0.4334, 0.4333, 0.4334, 0.4333, 0.4332, 0.4333, 0.4331, 0.4329, 0.4329
139950080.00, 40, 40, 0.4328, 0.4328, 0.4328, 0.4329, 0.4329, 0.4329, 0.4328, 0.4328, 0.4327, 0.4327
139950080.00, 40, 48, 0.4324, 0.4325, 0.4326, 0.4325, 0.4327, 0.4327, 0.4326, 0.4325, 0.4325, 0.4326
139950080.00, 40, 56, 0.4324, 0.4326, 0.4325, 0.4329, 0.4326, 0.4330, 0.4329, 0.4329, 0.4327, 0.4327
139950080.00, 40, 64, 0.4328, 0.4327, 0.4328, 0.4329, 0.4328, 0.4327, 0.4326, 0.4326, 0.4327, 0.4326
139950080.00, 40, 72, 0.4324, 0.4325, 0.4326, 0.4326, 0.4325, 0.4325, 0.4325, 0.4325, 0.4325, 0.4325
139950080.00, 40, 80, 0.4323, 0.4326, 0.4325, 0.4324, 0.4324, 0.4324, 0.4324, 0.4324, 0.4324, 0.4331
139950080.00, 40, 88, 0.4325, 0.4325, 0.4324, 0.4324, 0.4324, 0.4323, 0.4324, 0.4324, 0.4324, 0.4324
139950080.00, 40, 96, 0.4325, 0.4326, 0.4325, 0.4325, 0.4326, 0.4325, 0.4325, 0.4325, 0.4325, 0.4326
139950080.00, 40, 104, 0.4326, 0.4327, 0.4326, 0.4326, 0.4327, 0.4326, 0.4326, 0.4325, 0.4328, 0.4328
139950080.00, 40, 112, 0.4345, 0.4331, 0.4329, 0.4343, 0.4342, 0.4329, 0.4330, 0.4331, 0.4329, 0.4330
139950080.00, 40, 120, 0.4330, 0.4335, 0.4331, 0.4330, 0.4331, 0.4330, 0.4330, 0.4332, 0.4331, 0.4330
139950080.00, 40, 128, 0.4330, 0.4333, 0.4333, 0.4332, 0.4332, 0.4332, 0.4333, 0.4331, 0.4332, 0.4331
139950080.00, 48, 0, 1.1380, 1.1381, 1.1381, 1.1380, 1.1382, 1.1382, 1.1381, 1.1379, 1.1380, 1.1383
139950080.00, 48, 8, 0.4652, 0.4652, 0.4652, 0.4652, 0.4652, 0.4652, 0.4652, 0.4654, 0.4653, 0.4651
139950080.00, 48, 16, 0.4571, 0.4573, 0.4572, 0.4571, 0.4571, 0.4573, 0.4572, 0.4571, 0.4571, 0.4572
139950080.00, 48, 24, 0.4550, 0.4551, 0.4550, 0.4551, 0.4551, 0.4551, 0.4550, 0.4550, 0.4551, 0.4550
139950080.00, 48, 32, 0.4538, 0.4539, 0.4542, 0.4541, 0.4540, 0.4539, 0.4539, 0.4539, 0.4539, 0.4539
139950080.00, 48, 40, 0.4529, 0.4530, 0.4531, 0.4532, 0.4529, 0.4532, 0.4530, 0.4531, 0.4536, 0.4536
139950080.00, 48, 48, 0.4525, 0.4525, 0.4525, 0.4524, 0.4525, 0.4525, 0.4524, 0.4524, 0.4524, 0.4524
139950080.00, 48, 56, 0.4521, 0.4522, 0.4521, 0.4522, 0.4521, 0.4522, 0.4522, 0.4521, 0.4522, 0.4522
139950080.00, 48, 64, 0.4519, 0.4519, 0.4519, 0.4520, 0.4521, 0.4518, 0.4520, 0.4522, 0.4520, 0.4520
139950080.00, 48, 72, 0.4518, 0.4523, 0.4520, 0.4518, 0.4520, 0.4519, 0.4519, 0.4519, 0.4519, 0.4518
139950080.00, 48, 80, 0.4516, 0.4517, 0.4517, 0.4517, 0.4517, 0.4517, 0.4517, 0.4516, 0.4517, 0.4517
139950080.00, 48, 88, 0.4515, 0.4515, 0.4515, 0.4516, 0.4515, 0.4516, 0.4515, 0.4516, 0.4516, 0.4516
139950080.00, 48, 96, 0.4517, 0.4518, 0.4391, 0.4238, 0.4243, 0.4236, 0.4244, 0.4243, 0.4243, 0.4245
139950080.00, 48, 104, 0.4239, 0.4243, 0.4241, 0.4240, 0.4237, 0.4235, 0.4236, 0.4234, 0.4238, 0.4234
139950080.00, 48, 112, 0.4229, 0.4231, 0.4233, 0.4229, 0.4230, 0.4230, 0.4231, 0.4229, 0.4232, 0.4229
139950080.00, 48, 120, 0.4228, 0.4232, 0.4228, 0.4228, 0.4229, 0.4228, 0.4229, 0.4229, 0.4226, 0.4229
139950080.00, 48, 128, 0.4228, 0.4229, 0.4227, 0.4226, 0.4230, 0.4233, 0.4234, 0.4232, 0.4229, 0.4167
139950080.00, 56, 0, 1.1385, 1.1379, 1.1384, 1.1385, 1.1375, 1.1379, 1.1379, 1.1381, 1.1378, 1.1383
139950080.00, 56, 8, 0.4877, 0.4880, 0.4879, 0.4878, 0.4878, 0.4879, 0.4877, 0.4876, 0.4875, 0.4875
139950080.00, 56, 16, 0.4798, 0.4798, 0.4799, 0.4798, 0.4798, 0.4798, 0.4798, 0.4799, 0.4798, 0.4797
139950080.00, 56, 24, 0.4775, 0.4775, 0.4777, 0.4777, 0.4775, 0.4776, 0.4778, 0.4796, 0.4798, 0.4821
139950080.00, 56, 32, 0.4770, 0.4766, 0.4770, 0.4769, 0.4769, 0.4768, 0.4767, 0.4767, 0.4768, 0.4805
139950080.00, 56, 40, 0.4766, 0.4759, 0.4758, 0.4759, 0.4806, 0.4753, 0.4754, 0.4755, 0.4756, 0.4754
