sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 0.1171, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166, 0.1166, 0.1165
139950080.00, 0, 8, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166
139950080.00, 0, 16, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166
139950080.00, 0, 24, 0.1166, 0.1166, 0.1166, 0.1166, 0.1166, 0.1165, 0.1165, 0.1166, 0.1166, 0.1166
139950080.00, 0, 32, 0.1166, 0.1169, 0.1168, 0.1165, 0.1165, 0.1166, 0.1166, 0.1165, 0.1165, 0.1165
139950080.00, 0, 40, 0.1165, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165
139950080.00, 0, 48, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165
139950080.00, 0, 56, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165, 0.1165, 0.1165
139950080.00, 0, 64, 0.1166, 0.1165, 0.1166, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1166
139950080.00, 0, 72, 0.1166, 0.1165, 0.1166, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166
139950080.00, 0, 80, 0.1165, 0.1165, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1165
139950080.00, 0, 88, 0.1165, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165, 0.1165
139950080.00, 0, 96, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165
139950080.00, 0, 104, 0.1166, 0.1166, 0.1165, 0.1169, 0.1168, 0.1169, 0.1168, 0.1165, 0.1165, 0.1165
139950080.00, 0, 112, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165
139950080.00, 0, 120, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1166
139950080.00, 0, 128, 0.1165, 0.1166, 0.1165, 0.1169, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165, 0.1165
139950080.00, 8, 0, 0.1165, 0.1165, 0.1170, 0.1167, 0.1166, 0.1165, 0.1167, 0.1165, 0.1165, 0.1165
139950080.00, 8, 8, 0.4404, 0.4403, 0.4409, 0.4411, 0.4404, 0.4404, 0.4403, 0.4404, 0.4405, 0.4407
139950080.00, 8, 16, 0.4562, 0.4562, 0.4563, 0.4564, 0.4563, 0.4562, 0.4562, 0.4562, 0.4562, 0.4563
139950080.00, 8, 24, 0.4483, 0.4485, 0.4484, 0.4484, 0.4484, 0.4484, 0.4484, 0.4485, 0.4485, 0.4484
139950080.00, 8, 32, 0.4449, 0.4449, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446, 0.4446, 0.4445, 0.4446
139950080.00, 8, 40, 0.4424, 0.4424, 0.4425, 0.4425, 0.4425, 0.4425, 0.4425, 0.4425, 0.4425, 0.4424
139950080.00, 8, 48, 0.4408, 0.4408, 0.4409, 0.4409, 0.4409, 0.4409, 0.4408, 0.4409, 0.4409, 0.4408
139950080.00, 8, 56, 0.4398, 0.4399, 0.4398, 0.4399, 0.4398, 0.4399, 0.4398, 0.4400, 0.4400, 0.4399
139950080.00, 8, 64, 0.4388, 0.4388, 0.4392, 0.4387, 0.4387, 0.4388, 0.4390, 0.4387, 0.4387, 0.4387
139950080.00, 8, 72, 0.4382, 0.4383, 0.4382, 0.4382, 0.4383, 0.4382, 0.4382, 0.4382, 0.4382, 0.4382
139950080.00, 8, 80, 0.4377, 0.4383, 0.4384, 0.4377, 0.4377, 0.4377, 0.4378, 0.4377, 0.4377, 0.4382
139950080.00, 8, 88, 0.4372, 0.4372, 0.4372, 0.4372, 0.4372, 0.4371, 0.4371, 0.4372, 0.4371, 0.4372
139950080.00, 8, 96, 0.4371, 0.4371, 0.4373, 0.4371, 0.4372, 0.4371, 0.4371, 0.4371, 0.4372, 0.4371
139950080.00, 8, 104, 0.4365, 0.4367, 0.4368, 0.4366, 0.4366, 0.4366, 0.4366, 0.4367, 0.4377, 0.4380
139950080.00, 8, 112, 0.4372, 0.4374, 0.4367, 0.4367, 0.4368, 0.4366, 0.4368, 0.4368, 0.4366, 0.4366
139950080.00, 8, 120, 0.4361, 0.4361, 0.4361, 0.4361, 0.4361, 0.4366, 0.4361, 0.4360, 0.4361, 0.4362
139950080.00, 8, 128, 0.4361, 0.4361, 0.4361, 0.4361, 0.4361, 0.4362, 0.4361, 0.4361, 0.4361, 0.4361
139950080.00, 16, 0, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165, 0.1165, 0.1166
139950080.00, 16, 8, 0.4554, 0.4555, 0.4555, 0.4554, 0.4555, 0.4554, 0.4554, 0.4554, 0.4557, 0.4555
139950080.00, 16, 16, 0.4443, 0.4443, 0.4443, 0.4445, 0.4443, 0.4444, 0.4443, 0.4443, 0.4443, 0.4445
139950080.00, 16, 24, 0.4403, 0.4404, 0.4405, 0.4403, 0.4404, 0.4403, 0.4406, 0.4404, 0.4404, 0.4404
139950080.00, 16, 32, 0.4384, 0.4385, 0.4385, 0.4385, 0.4384, 0.4385, 0.4385, 0.4385, 0.4385, 0.4384
139950080.00, 16, 40, 0.4374, 0.4374, 0.4373, 0.4374, 0.4377, 0.4374, 0.4375, 0.4375, 0.4375, 0.4375
139950080.00, 16, 48, 0.4367, 0.4367, 0.4367, 0.4366, 0.4366, 0.4367, 0.4366, 0.4367, 0.4366, 0.4366
139950080.00, 16, 56, 0.4361, 0.4361, 0.4360, 0.4361, 0.4361, 0.4361, 0.4361, 0.4364, 0.4361, 0.4361
139950080.00, 16, 64, 0.4355, 0.4356, 0.4357, 0.4362, 0.4357, 0.4356, 0.4357, 0.4356, 0.4356, 0.4355
139950080.00, 16, 72, 0.4354, 0.4353, 0.4353, 0.4354, 0.4353, 0.4353, 0.4353, 0.4353, 0.4353, 0.4352
139950080.00, 16, 80, 0.4350, 0.4351, 0.4351, 0.4350, 0.4350, 0.4351, 0.4351, 0.4350, 0.4350, 0.4350
139950080.00, 16, 88, 0.4347, 0.4348, 0.4348, 0.4347, 0.4348, 0.4352, 0.4348, 0.4348, 0.4348, 0.4348
139950080.00, 16, 96, 0.4347, 0.4348, 0.4347, 0.4348, 0.4349, 0.4347, 0.4347, 0.4347, 0.4348, 0.4349
139950080.00, 16, 104, 0.4345, 0.4345, 0.4345, 0.4345, 0.4346, 0.4346, 0.4345, 0.4345, 0.4345, 0.4345
139950080.00, 16, 112, 0.4345, 0.4345, 0.4346, 0.4344, 0.4345, 0.4344, 0.4345, 0.4345, 0.4345, 0.4345
139950080.00, 16, 120, 0.4341, 0.4343, 0.4344, 0.4342, 0.4342, 0.4344, 0.4342, 0.4343, 0.4342, 0.4343
139950080.00, 16, 128, 0.4342, 0.4343, 0.4343, 0.4344, 0.4342, 0.4343, 0.4344, 0.4342, 0.4343, 0.4343
139950080.00, 24, 0, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165, 0.1166, 0.1165, 0.1165, 0.1165, 0.1165
139950080.00, 24, 8, 0.4480, 0.4481, 0.4482, 0.4482, 0.4481, 0.4482, 0.4482, 0.4482, 0.4481, 0.4481
139950080.00, 24, 16, 0.4403, 0.4404, 0.4404, 0.4404, 0.4403, 0.4405, 0.4404, 0.4403, 0.4404, 0.4403
139950080.00, 24, 24, 0.4380, 0.4381, 0.4379, 0.4379, 0.4380, 0.4380, 0.4379, 0.4378, 0.4380, 0.4379
139950080.00, 24, 32, 0.4365, 0.4365, 0.4364, 0.4365, 0.4365, 0.4364, 0.4365, 0.4365, 0.4365, 0.4365
139950080.00, 24, 40, 0.4358, 0.4357, 0.4358, 0.4357, 0.4358, 0.4359, 0.4358, 0.4360, 0.4364, 0.4358
139950080.00, 24, 48, 0.4352, 0.4353, 0.4353, 0.4352, 0.4352, 0.4355, 0.4357, 0.4357, 0.4355, 0.4356
139950080.00, 24, 56, 0.4352, 0.4352, 0.4351, 0.4350, 0.4349, 0.4350, 0.4349, 0.4350, 0.4350, 0.4350
139950080.00, 24, 64, 0.4347, 0.4346, 0.4346, 0.4347, 0.4346, 0.4346, 0.4346, 0.4360, 0.4353, 0.4349
139950080.00, 24, 72, 0.4349, 0.4344, 0.4347, 0.4346, 0.4344, 0.4344, 0.4344, 0.4344, 0.4345, 0.4344
139950080.00, 24, 80, 0.4342, 0.4343, 0.4344, 0.4343, 0.4349, 0.4345, 0.4346, 0.4344, 0.4345, 0.4345
139950080.00, 24, 88, 0.4343, 0.4342, 0.4342, 0.4341, 0.4340, 0.4341, 0.4340, 0.4341, 0.4340, 0.4340
139950080.00, 24, 96, 0.4340, 0.4340, 0.4340, 0.4342, 0.4341, 0.4342, 0.4341, 0.4342, 0.4341, 0.4341
139950080.00, 24, 104, 0.4338, 0.4339, 0.4339, 0.4339, 0.4339, 0.4340, 0.4339, 0.4339, 0.4339, 0.4342
139950080.00, 24, 112, 0.4341, 0.4341, 0.4341, 0.4340, 0.4342, 0.4341, 0.4341, 0.4340, 0.4340, 0.4340
139950080.00, 24, 120, 0.4338, 0.4337, 0.4336, 0.4337, 0.4338, 0.4337, 0.4337, 0.4337, 0.4338, 0.4338
139950080.00, 24, 128, 0.4337, 0.4338, 0.4337, 0.4338, 0.4336, 0.4337, 0.4336, 0.4337, 0.4337, 0.4338
139950080.00, 32, 0, 0.1165, 0.1166, 0.1166, 0.1165, 0.1165, 0.1166, 0.1165, 0.1166, 0.1165, 0.1167
139950080.00, 32, 8, 0.4559, 0.4454, 0.4454, 0.4454, 0.4454, 0.4454, 0.4453, 0.4454, 0.4452, 0.4451
139950080.00, 32, 16, 0.4402, 0.4402, 0.4402, 0.4403, 0.4402, 0.4402, 0.4402, 0.4403, 0.4403, 0.4403
139950080.00, 32, 24, 0.4391, 0.4582, 0.4394, 0.4398, 0.4392, 0.4392, 0.4392, 0.4391, 0.4391, 0.4392
139950080.00, 32, 32, 0.4388, 0.4389, 0.4389, 0.4388, 0.4615, 0.4391, 0.4391, 0.4492, 0.4391, 0.4390
