sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 1.1343, 1.1340, 1.1338, 1.1338, 1.1346, 1.1341, 1.1342, 1.1340, 1.1341, 1.1340
139950080.00, 0, 8, 1.1345, 1.1344, 1.1342, 1.1338, 1.1338, 1.1338, 1.1339, 1.1339, 1.1341, 1.1338
139950080.00, 0, 16, 1.1339, 1.1338, 1.1344, 1.1345, 1.1343, 1.1340, 1.1339, 1.1337, 1.1339, 1.1341
139950080.00, 0, 24, 1.1340, 1.1339, 1.1339, 1.1357, 1.1344, 1.1345, 1.1345, 1.1343, 1.1338, 1.1341
139950080.00, 0, 32, 1.1342, 1.1342, 1.1341, 1.1341, 1.1339, 1.1340, 1.1342, 1.1345, 1.1347, 1.1343
139950080.00, 0, 40, 1.1340, 1.1338, 1.1345, 1.1340, 1.1340, 1.1340, 1.1338, 1.1339, 1.1340, 1.1342
139950080.00, 0, 48, 1.1345, 1.1345, 1.1342, 1.1339, 1.1338, 1.1338, 1.1340, 1.1342, 1.1341, 1.1338
139950080.00, 0, 56, 1.1340, 1.1341, 1.1345, 1.1344, 1.1345, 1.1345, 1.1340, 1.1339, 1.1340, 1.1339
139950080.00, 0, 64, 1.1341, 1.1338, 1.1338, 1.1340, 1.1341, 1.1344, 1.1345, 1.1347, 1.1344, 1.1346
139950080.00, 0, 72, 1.1340, 1.1340, 1.1340, 1.1344, 1.1338, 1.1338, 1.1341, 1.1339, 1.1338, 1.1338
139950080.00, 0, 80, 1.1339, 1.1340, 1.1345, 1.1344, 1.1358, 1.1340, 1.1341, 1.1342, 1.1340, 1.1339
139950080.00, 0, 88, 1.1348, 1.1341, 1.1340, 1.1340, 1.1339, 1.1339, 1.1341, 1.1345, 1.1344, 1.1345
139950080.00, 0, 96, 1.1341, 1.1339, 1.1338, 1.1340, 1.1341, 1.1340, 1.1340, 1.1340, 1.1338, 1.1341
139950080.00, 0, 104, 1.1340, 1.1341, 1.1344, 1.1346, 1.1345, 1.1343, 1.1338, 1.1339, 1.1340, 1.1341
139950080.00, 0, 112, 1.1339, 1.1338, 1.1339, 1.1341, 1.1340, 1.1339, 1.1343, 1.1338, 1.1340, 1.1340
139950080.00, 0, 120, 1.1340, 1.1338, 1.1340, 1.1337, 1.1338, 1.1338, 1.1339, 1.1342, 1.1340, 1.1338
139950080.00, 0, 128, 1.1339, 1.1340, 1.1338, 1.1340, 1.1338, 1.1338, 1.1338, 1.1338, 1.1338, 1.1338
139950080.00, 8, 0, 1.1341, 1.1340, 1.1340, 1.1349, 1.1345, 1.1344, 1.1342, 1.1340, 1.1340, 1.1342
139950080.00, 8, 8, 0.4593, 0.4586, 0.4590, 0.4590, 0.4593, 0.4590, 0.4594, 0.4589, 0.4591, 0.4596
139950080.00, 8, 16, 0.4745, 0.4744, 0.4743, 0.4747, 0.4744, 0.4744, 0.4746, 0.4749, 0.4747, 0.4751
139950080.00, 8, 24, 0.4686, 0.4687, 0.4683, 0.4682, 0.4680, 0.4686, 0.4680, 0.4682, 0.4680, 0.4685
139950080.00, 8, 32, 0.4661, 0.4656, 0.4653, 0.4654, 0.4655, 0.4655, 0.4660, 0.4655, 0.4659, 0.4656
139950080.00, 8, 40, 0.4638, 0.4633, 0.4636, 0.4633, 0.4632, 0.4632, 0.4631, 0.4658, 0.4634, 0.4634
139950080.00, 8, 48, 0.4628, 0.4619, 0.4621, 0.4617, 0.4616, 0.4617, 0.4616, 0.4624, 0.4613, 0.4614
139950080.00, 8, 56, 0.4619, 0.4606, 0.4606, 0.4613, 0.4605, 0.4616, 0.4613, 0.4606, 0.4606, 0.4606
139950080.00, 8, 64, 0.4607, 0.4604, 0.4626, 0.4638, 0.4618, 0.4612, 0.4599, 0.4602, 0.4599, 0.4599
139950080.00, 8, 72, 0.4602, 0.4593, 0.4596, 0.4592, 0.4594, 0.4596, 0.4598, 0.4598, 0.4615, 0.4600
139950080.00, 8, 80, 0.4599, 0.4591, 0.4591, 0.4588, 0.4586, 0.4593, 0.4589, 0.4586, 0.4586, 0.4586
139950080.00, 8, 88, 0.4596, 0.4583, 0.4592, 0.4584, 0.4586, 0.4585, 0.4581, 0.4581, 0.4582, 0.4589
139950080.00, 8, 96, 0.4594, 0.4588, 0.4587, 0.4584, 0.4588, 0.4588, 0.4587, 0.4583, 0.4584, 0.4584
139950080.00, 8, 104, 0.4575, 0.4571, 0.4574, 0.4573, 0.4577, 0.4571, 0.4573, 0.4571, 0.4572, 0.4572
139950080.00, 8, 112, 0.4571, 0.4568, 0.4570, 0.4565, 0.4564, 0.4565, 0.4566, 0.4564, 0.4565, 0.4565
139950080.00, 8, 120, 0.4553, 0.4551, 0.4549, 0.4550, 0.4551, 0.4551, 0.4551, 0.4555, 0.4554, 0.4551
139950080.00, 8, 128, 0.4549, 0.4547, 0.4546, 0.4546, 0.4548, 0.4547, 0.4545, 0.4550, 0.4547, 0.4549
139950080.00, 16, 0, 1.1348, 1.1345, 1.1345, 1.1338, 1.1339, 1.1341, 1.1340, 1.1344, 1.1341, 1.1339
139950080.00, 16, 8, 0.4677, 0.4672, 0.4671, 0.4673, 0.4674, 0.4673, 0.4675, 0.4676, 0.4676, 0.4677
139950080.00, 16, 16, 0.4556, 0.4553, 0.4552, 0.4552, 0.4552, 0.4552, 0.4550, 0.4551, 0.4550, 0.4550
139950080.00, 16, 24, 0.4521, 0.4533, 0.4518, 0.4521, 0.4517, 0.4519, 0.4516, 0.4516, 0.4518, 0.4517
139950080.00, 16, 32, 0.4513, 0.4508, 0.4507, 0.4507, 0.4508, 0.4506, 0.4505, 0.4509, 0.4510, 0.4515
139950080.00, 16, 40, 0.4505, 0.4500, 0.4498, 0.4498, 0.4500, 0.4496, 0.4496, 0.4500, 0.4497, 0.4497
139950080.00, 16, 48, 0.4499, 0.4486, 0.4487, 0.4487, 0.4486, 0.4484, 0.4485, 0.4486, 0.4485, 0.4485
139950080.00, 16, 56, 0.4490, 0.4486, 0.4487, 0.4482, 0.4481, 0.4487, 0.4482, 0.4482, 0.4482, 0.4483
139950080.00, 16, 64, 0.4487, 0.4482, 0.4485, 0.4485, 0.4484, 0.4486, 0.4484, 0.4484, 0.4483, 0.4486
139950080.00, 16, 72, 0.4485, 0.4479, 0.4478, 0.4482, 0.4479, 0.4478, 0.4479, 0.4478, 0.4478, 0.4476
139950080.00, 16, 80, 0.4478, 0.4479, 0.4477, 0.4478, 0.4475, 0.4475, 0.4475, 0.4476, 0.4474, 0.4474
139950080.00, 16, 88, 0.4477, 0.4475, 0.4477, 0.4475, 0.4474, 0.4480, 0.4484, 0.4479, 0.4480, 0.4478
139950080.00, 16, 96, 0.4484, 0.4484, 0.4485, 0.4478, 0.4475, 0.4478, 0.4477, 0.4482, 0.4477, 0.4478
139950080.00, 16, 104, 0.4477, 0.4475, 0.4474, 0.4476, 0.4474, 0.4476, 0.4488, 0.4479, 0.4480, 0.4480
139950080.00, 16, 112, 0.4476, 0.4474, 0.4472, 0.4475, 0.4472, 0.4472, 0.4472, 0.4472, 0.4476, 0.4477
139950080.00, 16, 120, 0.4466, 0.4467, 0.4465, 0.4464, 0.4466, 0.4465, 0.4463, 0.4460, 0.4461, 0.4462
139950080.00, 16, 128, 0.4453, 0.4451, 0.4472, 0.4466, 0.4467, 0.4455, 0.4448, 0.4450, 0.4449, 0.4450
139950080.00, 24, 0, 1.1340, 1.1339, 1.1342, 1.1344, 1.1343, 1.1348, 1.1344, 1.1344, 1.1343, 1.1338
139950080.00, 24, 8, 0.4578, 0.4573, 0.4571, 0.4571, 0.4572, 0.4572, 0.4572, 0.4574, 0.4573, 0.4573
139950080.00, 24, 16, 0.4487, 0.4484, 0.4484, 0.4483, 0.4484, 0.4481, 0.4484, 0.4482, 0.4483, 0.4483
139950080.00, 24, 24, 0.4465, 0.4462, 0.4461, 0.4463, 0.4461, 0.4466, 0.4464, 0.4464, 0.4463, 0.4466
139950080.00, 24, 32, 0.4466, 0.4461, 0.4461, 0.4458, 0.4459, 0.4462, 0.4461, 0.4456, 0.4457, 0.4457
139950080.00, 24, 40, 0.4455, 0.4453, 0.4448, 0.4448, 0.4451, 0.4448, 0.4448, 0.4446, 0.4448, 0.4449
139950080.00, 24, 48, 0.4446, 0.4444, 0.4443, 0.4442, 0.4443, 0.4441, 0.4440, 0.4441, 0.4443, 0.4440
139950080.00, 24, 56, 0.4443, 0.4441, 0.4443, 0.4443, 0.4442, 0.4444, 0.4443, 0.4444, 0.4443, 0.4441
139950080.00, 24, 64, 0.4446, 0.4444, 0.4442, 0.4441, 0.4439, 0.4458, 0.4447, 0.4445, 0.4439, 0.4441
139950080.00, 24, 72, 0.4441, 0.4442, 0.4442, 0.4438, 0.4440, 0.4439, 0.4441, 0.4441, 0.4439, 0.4443
