sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 0.0716, 0.0714, 0.0715, 0.0715, 0.0716, 0.0716, 0.0715, 0.0716, 0.0716, 0.0715
139950080.00, 0, 8, 0.0715, 0.0716, 0.0717, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0717, 0.0716
139950080.00, 0, 16, 0.0716, 0.0716, 0.0716, 0.0716, 0.0717, 0.0717, 0.0717, 0.0716, 0.0716, 0.0716
139950080.00, 0, 24, 0.0716, 0.0717, 0.0717, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0717
139950080.00, 0, 32, 0.0716, 0.0718, 0.0715, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716
139950080.00, 0, 40, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716
139950080.00, 0, 48, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0717, 0.0717, 0.0718
139950080.00, 0, 56, 0.0716, 0.0717, 0.0716, 0.0715, 0.0717, 0.0717, 0.0716, 0.0715, 0.0717, 0.0716
139950080.00, 0, 64, 0.0715, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716
139950080.00, 0, 72, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716
139950080.00, 0, 80, 0.0716, 0.0716, 0.0717, 0.0717, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0715
139950080.00, 0, 88, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0716
139950080.00, 0, 96, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0717, 0.0716
139950080.00, 0, 104, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716
139950080.00, 0, 112, 0.0717, 0.0716, 0.0716, 0.0717, 0.0717, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716
139950080.00, 0, 120, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0717, 0.0716, 0.0716, 0.0717, 0.0717
139950080.00, 0, 128, 0.0717, 0.0716, 0.0717, 0.0716, 0.0717, 0.0717, 0.0717, 0.0715, 0.0716, 0.0717
139950080.00, 8, 0, 0.0717, 0.0717, 0.0717, 0.0716, 0.0717, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716
139950080.00, 8, 8, 0.3442, 0.3357, 0.3342, 0.3335, 0.3333, 0.3316, 0.3316, 0.3307, 0.3264, 0.3292
139950080.00, 8, 16, 0.3375, 0.3384, 0.3476, 0.3381, 0.3376, 0.3374, 0.3399, 0.3396, 0.3408, 0.3372
139950080.00, 8, 24, 0.3320, 0.3370, 0.3336, 0.3370, 0.3342, 0.3363, 0.3402, 0.3363, 0.3428, 0.3466
139950080.00, 8, 32, 0.3485, 0.3330, 0.3282, 0.3354, 0.3439, 0.3400, 0.3470, 0.3437, 0.3344, 0.3385
139950080.00, 8, 40, 0.3395, 0.3402, 0.3359, 0.3357, 0.3331, 0.3257, 0.3329, 0.3372, 0.3401, 0.3379
139950080.00, 8, 48, 0.3397, 0.3430, 0.3405, 0.3440, 0.3434, 0.3429, 0.3459, 0.3440, 0.3427, 0.3443
139950080.00, 8, 56, 0.3464, 0.3403, 0.3331, 0.3350, 0.3389, 0.3362, 0.3381, 0.3349, 0.3370, 0.3375
139950080.00, 8, 64, 0.3401, 0.3376, 0.3482, 0.3430, 0.3459, 0.3409, 0.3457, 0.3467, 0.3475, 0.3384
139950080.00, 8, 72, 0.3434, 0.3434, 0.3289, 0.3288, 0.3261, 0.3401, 0.3385, 0.3388, 0.3433, 0.3434
139950080.00, 8, 80, 0.3467, 0.3384, 0.3290, 0.3292, 0.3367, 0.3380, 0.3338, 0.3315, 0.3272, 0.3416
139950080.00, 8, 88, 0.3428, 0.3398, 0.3408, 0.3444, 0.3449, 0.3459, 0.3423, 0.3311, 0.3263, 0.3324
139950080.00, 8, 96, 0.3427, 0.3372, 0.3423, 0.3361, 0.3430, 0.3297, 0.3377, 0.3401, 0.3452, 0.3466
139950080.00, 8, 104, 0.3461, 0.3465, 0.3411, 0.3346, 0.3406, 0.3444, 0.3325, 0.3376, 0.3345, 0.3376
139950080.00, 8, 112, 0.3373, 0.3455, 0.3436, 0.3307, 0.3386, 0.3463, 0.3458, 0.3431, 0.3307, 0.3284
139950080.00, 8, 120, 0.3318, 0.3355, 0.3381, 0.3433, 0.3372, 0.3354, 0.3290, 0.3335, 0.3282, 0.3338
139950080.00, 8, 128, 0.3409, 0.3280, 0.3345, 0.3394, 0.3345, 0.3429, 0.3437, 0.3347, 0.3395, 0.3330
139950080.00, 16, 0, 0.0714, 0.0715, 0.0715, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716, 0.0716
139950080.00, 16, 8, 0.3236, 0.3188, 0.3262, 0.3191, 0.3181, 0.3184, 0.3186, 0.3237, 0.3180, 0.3257
