sum,A,B,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
139950080.00, 0, 0, 5.6024, 5.6036, 5.6214, 5.6300, 5.6008, 5.6018, 5.6077, 5.6024, 5.6011, 5.6012
139950080.00, 0, 8, 5.6011, 5.6009, 5.6014, 5.6033, 5.6013, 5.6031, 5.6026, 5.6011, 5.6012, 5.6008
139950080.00, 0, 16, 5.6011, 5.6008, 5.6008, 5.6005, 5.6030, 5.6018, 5.6029, 5.6035, 5.6013, 5.6023
139950080.00, 0, 24, 5.6025, 5.6017, 5.6029, 5.6023, 5.6015, 5.6035, 5.6011, 5.6024, 5.6034, 5.6008
139950080.00, 0, 32, 5.6025, 5.6021, 5.6012, 5.6035, 5.6024, 5.6016, 5.6015, 5.6008, 5.6020, 5.6037
139950080.00, 0, 40, 5.6010, 5.6011, 5.6030, 5.6016, 5.6010, 5.6026, 5.6038, 5.6021, 5.6020, 5.6038
139950080.00, 0, 48, 5.6018, 5.6014, 5.6032, 5.6019, 5.6007, 5.6024, 5.6028, 5.6007, 5.6012, 5.6015
139950080.00, 0, 56, 5.6015, 5.6006, 5.6011, 5.6050, 5.6011, 5.6009, 5.6005, 5.6010, 5.6012, 5.6007
139950080.00, 0, 64, 5.6013, 5.6011, 5.6006, 5.6014, 5.6008, 5.6014, 5.6010, 5.6006, 5.6019, 5.6017
139950080.00, 0, 72, 5.6019, 5.6029, 5.6019, 5.6008, 5.6037, 5.6010, 5.6007, 5.6038, 5.6013, 5.6010
139950080.00, 0, 80, 5.6034, 5.6017, 5.6013, 5.6036, 5.6011, 5.6015, 5.6032, 5.6010, 5.6025, 5.6028
139950080.00, 0, 88, 5.6008, 5.6036, 5.6027, 5.6015, 5.6032, 5.6006, 5.6027, 5.6025, 5.6006, 5.6030
139950080.00, 0, 96, 5.6015, 5.6011, 5.6035, 5.6010, 5.6012, 5.6030, 5.6007, 5.6024, 5.6022, 5.6008
139950080.00, 0, 104, 5.6021, 5.6017, 5.6014, 5.6031, 5.6094, 5.6013, 5.6030, 5.6006, 5.6012, 5.6030
139950080.00, 0, 112, 5.6011, 5.6005, 5.6031, 5.6020, 5.6028, 5.6027, 5.6009, 5.6020, 5.6018, 5.6014
139950080.00, 0, 120, 5.6033, 5.6013, 5.6031, 5.6033, 5.6007, 5.6029, 5.6026, 5.6015, 5.6031, 5.6041
139950080.00, 0, 128, 5.6175, 5.6030, 5.6010, 5.6017, 5.6031, 5.6019, 5.6028, 5.6013, 5.6016, 5.6028
139950080.00, 8, 0, 5.6008, 5.6013, 5.6038, 5.6008, 5.6009, 5.6036, 5.6019, 5.6048, 5.6032, 5.6015
139950080.00, 8, 8, 1.0947, 1.0947, 1.0947, 1.0945, 1.0945, 1.0946, 1.0979, 1.0952, 1.0954, 1.0951
139950080.00, 8, 16, 0.7653, 0.7650, 0.7652, 0.7652, 0.7650, 0.7651, 0.7651, 0.7649, 0.7650, 0.7650
139950080.00, 8, 24, 0.6507, 0.6505, 0.6504, 0.6504, 0.6503, 0.6503, 0.6504, 0.6504, 0.6504, 0.6505
139950080.00, 8, 32, 0.5837, 0.5839, 0.5840, 0.5841, 0.5842, 0.5839, 0.5840, 0.5841, 0.5837, 0.5836
139950080.00, 8, 40, 0.5503, 0.5503, 0.5502, 0.5503, 0.5504, 0.5503, 0.5509, 0.5505, 0.5505, 0.5505
139950080.00, 8, 48, 0.5248, 0.5250, 0.5250, 0.5247, 0.5247, 0.5249, 0.5250, 0.5247, 0.5249, 0.5254
139950080.00, 8, 56, 0.5081, 0.5079, 0.5082, 0.5082, 0.5082, 0.5081, 0.5082, 0.5080, 0.5081, 0.5080
139950080.00, 8, 64, 0.4906, 0.4904, 0.4904, 0.4904, 0.4903, 0.4904, 0.4906, 0.4903, 0.4903, 0.4904
139950080.00, 8, 72, 0.4818, 0.4817, 0.4818, 0.4817, 0.4817, 0.4816, 0.4817, 0.4817, 0.4816, 0.4816
139950080.00, 8, 80, 0.4725, 0.4725, 0.4727, 0.4726, 0.4726, 0.4727, 0.4727, 0.4729, 0.4731, 0.4729
139950080.00, 8, 88, 0.4639, 0.4639, 0.4638, 0.4639, 0.4639, 0.4638, 0.4635, 0.4636, 0.4636, 0.4636
139950080.00, 8, 96, 0.4630, 0.4630, 0.4631, 0.4631, 0.4631, 0.4630, 0.4632, 0.4632, 0.4632, 0.4631
139950080.00, 8, 104, 0.4545, 0.4545, 0.4544, 0.4544, 0.4544, 0.4543, 0.4543, 0.4544, 0.4543, 0.4545
139950080.00, 8, 112, 0.4539, 0.4539, 0.4539, 0.4539, 0.4543, 0.4542, 0.4542, 0.4541, 0.4540, 0.4539
139950080.00, 8, 120, 0.4452, 0.4450, 0.4451, 0.4453, 0.4451, 0.4451, 0.4450, 0.4451, 0.4451, 0.4451
139950080.00, 8, 128, 0.4448, 0.4447, 0.4448, 0.4450, 0.4448, 0.4447, 0.4448, 0.4449, 0.4448, 0.4447
139950080.00, 16, 0, 5.6011, 5.6013, 5.6013, 5.6085, 5.6008, 5.6008, 5.6009, 5.6008, 5.6007, 5.6010
139950080.00, 16, 8, 1.0800, 1.0799, 1.0801, 1.0800, 1.0801, 1.0801, 1.0801, 1.0802, 1.0803, 1.0807
139950080.00, 16, 16, 0.7372, 0.7370, 0.7371, 0.7370, 0.7370, 0.7371, 0.7369, 0.7370, 0.7376, 0.7370
139950080.00, 16, 24, 0.6285, 0.6285, 0.6288, 0.6289, 0.6289, 0.6288, 0.6290, 0.6289, 0.6288, 0.6286
139950080.00, 16, 32, 0.5651, 0.5649, 0.5648, 0.5649, 0.5649, 0.5649, 0.5649, 0.5649, 0.5649, 0.5648
139950080.00, 16, 40, 0.5332, 0.5329, 0.5329, 0.5329, 0.5329, 0.5330, 0.5330, 0.5329, 0.5329, 0.5329
139950080.00, 16, 48, 0.5087, 0.5087, 0.5087, 0.5087, 0.5089, 0.5092, 0.5091, 0.5091, 0.5090, 0.5091
139950080.00, 16, 56, 0.4929, 0.4928, 0.4924, 0.4926, 0.4926, 0.4927, 0.4925, 0.4926, 0.4926, 0.4926
139950080.00, 16, 64, 0.4762, 0.4761, 0.4762, 0.4760, 0.4760, 0.4760, 0.4762, 0.4761, 0.4761, 0.4760
139950080.00, 16, 72, 0.4676, 0.4678, 0.4676, 0.4676, 0.4677, 0.4678, 0.4678, 0.4679, 0.4679, 0.4682
139950080.00, 16, 80, 0.4596, 0.4596, 0.4594, 0.4594, 0.4594, 0.4593, 0.4592, 0.4593, 0.4593, 0.4592
139950080.00, 16, 88, 0.4506, 0.4507, 0.4506, 0.4508, 0.4509, 0.4507, 0.4507, 0.4508, 0.4507, 0.4506
139950080.00, 16, 96, 0.4501, 0.4503, 0.4502, 0.4502, 0.4502, 0.4502, 0.4503, 0.4503, 0.4502, 0.4503
139950080.00, 16, 104, 0.4418, 0.4419, 0.4419, 0.4429, 0.4421, 0.4422, 0.4422, 0.4423, 0.4421, 0.4420
139950080.00, 16, 112, 0.4419, 0.4417, 0.4416, 0.4415, 0.4416, 0.4415, 0.4414, 0.4414, 0.4440, 0.4416
139950080.00, 16, 120, 0.4331, 0.4332, 0.4330, 0.4331, 0.4331, 0.4329, 0.4331, 0.4331, 0.4331, 0.4331
139950080.00, 16, 128, 0.4331, 0.4330, 0.4328, 0.4328, 0.4327, 0.4328, 0.4328, 0.4329, 0.4329, 0.4328
139950080.00, 24, 0, 5.6009, 5.6007, 5.6008, 5.6014, 5.6009, 5.6013, 5.6009, 5.6014, 5.6011, 5.6008
139950080.00, 24, 8, 1.0675, 1.0674, 1.0680, 1.0681, 1.0684, 1.0684, 1.0683, 1.0676, 1.0676, 1.0678
139950080.00, 24, 16, 0.7297, 0.7296, 0.7298, 0.7297, 0.7295, 0.7295, 0.7296, 0.7296, 0.7295, 0.7294
139950080.00, 24, 24, 0.6218, 0.6217, 0.6219, 0.6223, 0.6223, 0.6222, 0.6222, 0.6222, 0.6223, 0.6217
139950080.00, 24, 32, 0.5591, 0.5591, 0.5592, 0.5592, 0.5592, 0.5591, 0.5590, 0.5591, 0.5591, 0.5591
139950080.00, 24, 40, 0.5276, 0.5277, 0.5277, 0.5276, 0.5276, 0.5276, 0.5278, 0.5276, 0.5276, 0.5278
139950080.00, 24, 48, 0.5043, 0.5040, 0.5041, 0.5040, 0.5040, 0.5039, 0.5038, 0.5036, 0.5038, 0.5037
139950080.00, 24, 56, 0.4880, 0.4880, 0.4880, 0.4879, 0.4879, 0.4879, 0.4879, 0.4880, 0.4879, 0.4879
139950080.00, 24, 64, 0.4719, 0.4717, 0.4717, 0.4718, 0.4719, 0.4718, 0.4726, 0.4719, 0.4719, 0.4718
139950080.00, 24, 72, 0.4637, 0.4637, 0.4638, 0.4638, 0.4637, 0.4637, 0.4637, 0.4637, 0.4637, 0.4639
139950080.00, 24, 80, 0.4586, 0.4556, 0.4555, 0.4557, 0.4556, 0.4555, 0.4555, 0.4555, 0.4555, 0.4555
139950080.00, 24, 88, 0.4473, 0.4473, 0.4474, 0.4473, 0.4473, 0.4473, 0.4472, 0.4473, 0.4474, 0.4473
139950080.00, 24, 96, 0.4470, 0.4470, 0.4473, 0.4472, 0.4471, 0.4470, 0.4471, 0.4471, 0.4471, 0.4471
139950080.00, 24, 104, 0.4388, 0.4388, 0.4388, 0.4388, 0.4387, 0.4388, 0.4389, 0.4388, 0.4388, 0.4388
139950080.00, 24, 112, 0.4386, 0.4386, 0.4385, 0.4385, 0.4385, 0.4385, 0.4388, 0.4385, 0.4385, 0.4386
139950080.00, 24, 120, 0.4303, 0.4303, 0.4302, 0.4303, 0.4303, 0.4303, 0.4303, 0.4303, 0.4304, 0.4313
139950080.00, 24, 128, 0.4302, 0.4300, 0.4300, 0.4299, 0.4300, 0.4299, 0.4299, 0.4299, 0.4299, 0.4299
139950080.00, 32, 0, 5.6005, 5.6008, 5.6006, 5.6005, 5.6016, 5.6018, 5.6006, 5.6007, 5.6005, 5.6006
139950080.00, 32, 8, 1.0700, 1.0699, 1.0699, 1.0700, 1.0700, 1.0702, 1.0701, 1.0700, 1.0701, 1.0702
139950080.00, 32, 16, 0.7314, 0.7315, 0.7314, 0.7315, 0.7314, 0.7314, 0.7321, 0.7328, 0.7316, 0.7315
139950080.00, 32, 24, 0.6238, 0.6238, 0.6238, 0.6238, 0.6236, 0.6236, 0.6236, 0.6236, 0.6237, 0.6237
139950080.00, 32, 32, 0.5608, 0.5609, 0.5608, 0.5609, 0.5615, 0.5610, 0.5610, 0.5609, 0.5610, 0.5608
139950080.00, 32, 40, 0.5293, 0.5291, 0.5291, 0.5291, 0.5291, 0.5292, 0.5325, 0.5296, 0.5295, 0.5296
