sum,A,B,t0,t1,t2
139950080.00, 0, 0, 0.0706, 0.0692, 0.0604
139950080.00, 0, 8, 0.0599, 0.0598, 0.0596
139950080.00, 0, 16, 0.0596, 0.0602, 0.0699
139950080.00, 0, 24, 0.0662, 0.0599, 0.0597
139950080.00, 0, 32, 0.0597, 0.0598, 0.0597
139950080.00, 0, 40, 0.0603, 0.0688, 0.0668
139950080.00, 0, 48, 0.0598, 0.0609, 0.0598
139950080.00, 0, 56, 0.0597, 0.0595, 0.0598
139950080.00, 0, 64, 0.0672, 0.0675, 0.0601
139950080.00, 0, 72, 0.0595, 0.0595, 0.0596
139950080.00, 0, 80, 0.0595, 0.0596, 0.0679
139950080.00, 0, 88, 0.0680, 0.0621, 0.0596
139950080.00, 0, 96, 0.0595, 0.0594, 0.0603
139950080.00, 0, 104, 0.0611, 0.0693, 0.0703
139950080.00, 0, 112, 0.0613, 0.0596, 0.0596
139950080.00, 0, 120, 0.0603, 0.0597, 0.0596
139950080.00, 0, 128, 0.0695, 0.0694, 0.0611
139950080.00, 8, 0, 0.0596, 0.0603, 0.0596
139950080.00, 8, 8, 0.2679, 0.2567, 0.2679
139950080.00, 8, 16, 0.2745, 0.2812, 0.2715
139950080.00, 8, 24, 0.2762, 0.2666, 0.2714
139950080.00, 8, 32, 0.2658, 0.2631, 0.2671
139950080.00, 8, 40, 0.2598, 0.2658, 0.2626
139950080.00, 8, 48, 0.2647, 0.2565, 0.2656
139950080.00, 8, 56, 0.2553, 0.2642, 0.2557
139950080.00, 8, 64, 0.2628, 0.2543, 0.2634
139950080.00, 8, 72, 0.2537, 0.2632, 0.2549
139950080.00, 8, 80, 0.2608, 0.2553, 0.2592
139950080.00, 8, 88, 0.2565, 0.2596, 0.2572
139950080.00, 8, 96, 0.2565, 0.2576, 0.2560
139950080.00, 8, 104, 0.2582, 0.2573, 0.2582
139950080.00, 8, 112, 0.2537, 0.2585, 0.2527
139950080.00, 8, 120, 0.2581, 0.2521, 0.2589
139950080.00, 8, 128, 0.2512, 0.2592, 0.2517
139950080.00, 16, 0, 0.0596, 0.0635, 0.0662
139950080.00, 16, 8, 0.2631, 0.2682, 0.2594
139950080.00, 16, 16, 0.2576, 0.2486, 0.2576
139950080.00, 16, 24, 0.2447, 0.2533, 0.2452
139950080.00, 16, 32, 0.2549, 0.2432, 0.2518
139950080.00, 16, 40, 0.2424, 0.2517, 0.2428
139950080.00, 16, 48, 0.2511, 0.2423, 0.2505
139950080.00, 16, 56, 0.2410, 0.2491, 0.2419
139950080.00, 16, 64, 0.2487, 0.2419, 0.2482
139950080.00, 16, 72, 0.2439, 0.2485, 0.2443
139950080.00, 16, 80, 0.2458, 0.2431, 0.2465
139950080.00, 16, 88, 0.2444, 0.2436, 0.2437
139950080.00, 16, 96, 0.2433, 0.2460, 0.2442
139950080.00, 16, 104, 0.2481, 0.2443, 0.2479
139950080.00, 16, 112, 0.2426, 0.2488, 0.2411
139950080.00, 16, 120, 0.2495, 0.2407, 0.2481
139950080.00, 16, 128, 0.2392, 0.2477, 0.2386
139950080.00, 24, 0, 0.0650, 0.0670, 0.0616
139950080.00, 24, 8, 0.2512, 0.2643, 0.2510
139950080.00, 24, 16, 0.2569, 0.2446, 0.2587
139950080.00, 24, 24, 0.2435, 0.2493, 0.2481
139950080.00, 24, 32, 0.2580, 0.2413, 0.2579
139950080.00, 24, 40, 0.2432, 0.2466, 0.2415
139950080.00, 24, 48, 0.2451, 0.2407, 0.2451
139950080.00, 24, 56, 0.2407, 0.2447, 0.2512
139950080.00, 24, 64, 0.2581, 0.2407, 0.2481
139950080.00, 24, 72, 0.2451, 0.2470, 0.2407
139950080.00, 24, 80, 0.2436, 0.2402, 0.2438
139950080.00, 24, 88, 0.2400, 0.2546, 0.2437
139950080.00, 24, 96, 0.2535, 0.2425, 0.2505
139950080.00, 24, 104, 0.2465, 0.2540, 0.2450
139950080.00, 24, 112, 0.2516, 0.2438, 0.2543
139950080.00, 24, 120, 0.2439, 0.2482, 0.2455
139950080.00, 24, 128, 0.2483, 0.2435, 0.2495
139950080.00, 32, 0, 0.0691, 0.0618, 0.0619
139950080.00, 32, 8, 0.2707, 0.2790, 0.2778
139950080.00, 32, 16, 0.2587, 0.2806, 0.2531
139950080.00, 32, 24, 0.2758, 0.2530, 0.2769
