sum,A,B,t0
2792901376.00, 0, 0, 3.7055
2792901376.00, 0, 8, 3.7063
2792901376.00, 0, 16, 3.7069
2792901376.00, 0, 24, 3.7065
2792901376.00, 0, 32, 3.7068
2792901376.00, 0, 40, 3.7044
2792901376.00, 0, 48, 3.7050
2792901376.00, 0, 56, 3.7054
2792901376.00, 0, 64, 3.7075
2792901376.00, 0, 72, 3.7067
2792901376.00, 0, 80, 3.7066
2792901376.00, 0, 88, 3.7061
2792901376.00, 0, 96, 3.7051
2792901376.00, 0, 104, 3.7064
2792901376.00, 0, 112, 3.7050
2792901376.00, 0, 120, 3.7059
2792901376.00, 0, 128, 3.7080
2792901376.00, 8, 0, 3.7048
2792901376.00, 8, 8, 7.0299
2792901376.00, 8, 16, 7.2784
2792901376.00, 8, 24, 7.1797
2792901376.00, 8, 32, 7.1032
2792901376.00, 8, 40, 7.0412
2792901376.00, 8, 48, 7.0078
2792901376.00, 8, 56, 6.9800
2792901376.00, 8, 64, 6.9724
2792901376.00, 8, 72, 6.9462
2792901376.00, 8, 80, 6.9363
2792901376.00, 8, 88, 6.9269
2792901376.00, 8, 96, 6.9214
2792901376.00, 8, 104, 6.9116
2792901376.00, 8, 112, 6.9073
2792901376.00, 8, 120, 6.9002
2792901376.00, 8, 128, 6.8970
2792901376.00, 16, 0, 3.7074
2792901376.00, 16, 8, 7.3402
2792901376.00, 16, 16, 7.1103
2792901376.00, 16, 24, 7.0320
2792901376.00, 16, 32, 6.9975
2792901376.00, 16, 40, 6.9684
2792901376.00, 16, 48, 6.9599
2792901376.00, 16, 56, 6.9436
2792901376.00, 16, 64, 6.9397
2792901376.00, 16, 72, 6.9305
2792901376.00, 16, 80, 6.9262
2792901376.00, 16, 88, 6.9244
2792901376.00, 16, 96, 6.9188
2792901376.00, 16, 104, 6.9163
2792901376.00, 16, 112, 6.9199
2792901376.00, 16, 120, 6.9102
2792901376.00, 16, 128, 6.9104
2792901376.00, 24, 0, 3.7051
2792901376.00, 24, 8, 8.9250
2792901376.00, 24, 16, 8.5520
2792901376.00, 24, 24, 8.4012
2792901376.00, 24, 32, 8.3467
2792901376.00, 24, 40, 8.2966
2792901376.00, 24, 48, 8.2761
2792901376.00, 24, 56, 8.2500
2792901376.00, 24, 64, 8.2402
2792901376.00, 24, 72, 8.2254
2792901376.00, 24, 80, 8.2194
2792901376.00, 24, 88, 8.2099
2792901376.00, 24, 96, 8.2044
2792901376.00, 24, 104, 8.1990
2792901376.00, 24, 112, 8.1965
2792901376.00, 24, 120, 8.1887
2792901376.00, 24, 128, 8.1885
2792901376.00, 32, 0, 3.7077
2792901376.00, 32, 8, 9.9449
2792901376.00, 32, 16, 9.5050
