sum,A,B,t0
2792901376.00, 0, 0, 419.4464
2792901376.00, 0, 8, 419.5024
2792901376.00, 0, 16, 419.4763
2792901376.00, 0, 24, 419.5020
2792901376.00, 0, 32, 419.5146
2792901376.00, 0, 40, 419.5349
2792901376.00, 0, 48, 419.4949
2792901376.00, 0, 56, 419.2791
2792901376.00, 0, 64, 419.3072
2792901376.00, 0, 72, 419.4980
2792901376.00, 0, 80, 419.4727
2792901376.00, 0, 88, 419.4934
2792901376.00, 0, 96, 419.5017
2792901376.00, 0, 104, 419.4849
2792901376.00, 0, 112, 419.4745
2792901376.00, 0, 120, 419.4816
2792901376.00, 0, 128, 419.4888
2792901376.00, 8, 0, 419.4789
2792901376.00, 8, 8, 56.1350
2792901376.00, 8, 16, 52.2888
2792901376.00, 8, 24, 51.1523
2792901376.00, 8, 32, 50.6038
2792901376.00, 8, 40, 32.5983
2792901376.00, 8, 48, 32.0247
2792901376.00, 8, 56, 31.8445
2792901376.00, 8, 64, 31.3137
2792901376.00, 8, 72, 31.1404
2792901376.00, 8, 80, 30.9941
2792901376.00, 8, 88, 30.8578
2792901376.00, 8, 96, 30.6649
2792901376.00, 8, 104, 30.5308
2792901376.00, 8, 112, 30.2221
2792901376.00, 8, 120, 30.5834
2792901376.00, 8, 128, 30.2943
2792901376.00, 16, 0, 419.5912
2792901376.00, 16, 8, 48.3055
2792901376.00, 16, 16, 45.9982
2792901376.00, 16, 24, 45.5180
2792901376.00, 16, 32, 45.1741
2792901376.00, 16, 40, 36.3544
2792901376.00, 16, 48, 36.0322
2792901376.00, 16, 56, 35.8337
2792901376.00, 16, 64, 35.6903
2792901376.00, 16, 72, 35.5154
2792901376.00, 16, 80, 35.3943
2792901376.00, 16, 88, 35.2013
2792901376.00, 16, 96, 35.1643
2792901376.00, 16, 104, 35.0744
2792901376.00, 16, 112, 34.9980
2792901376.00, 16, 120, 34.8291
2792901376.00, 16, 128, 34.7510
2792901376.00, 24, 0, 419.5372
2792901376.00, 24, 8, 96.1096
2792901376.00, 24, 16, 95.1279
2792901376.00, 24, 24, 95.3017
2792901376.00, 24, 32, 95.0385
2792901376.00, 24, 40, 90.3383
2792901376.00, 24, 48, 89.9279
2792901376.00, 24, 56, 89.8076
2792901376.00, 24, 64, 89.7174
2792901376.00, 24, 72, 89.6184
2792901376.00, 24, 80, 89.5392
2792901376.00, 24, 88, 89.4626
2792901376.00, 24, 96, 89.4117
2792901376.00, 24, 104, 89.3385
2792901376.00, 24, 112, 89.3127
2792901376.00, 24, 120, 89.1661
2792901376.00, 24, 128, 89.1252
2792901376.00, 32, 0, 419.4777
2792901376.00, 32, 8, 95.3315
2792901376.00, 32, 16, 94.6829
2792901376.00, 32, 24, 94.5193
2792901376.00, 32, 32, 94.2759
2792901376.00, 32, 40, 90.5714
2792901376.00, 32, 48, 90.2577
2792901376.00, 32, 56, 90.0973
2792901376.00, 32, 64, 90.0644
2792901376.00, 32, 72, 89.9737
2792901376.00, 32, 80, 89.9259
2792901376.00, 32, 88, 89.8285
2792901376.00, 32, 96, 89.7763
2792901376.00, 32, 104, 89.6974
2792901376.00, 32, 112, 89.6714
2792901376.00, 32, 120, 89.5529
2792901376.00, 32, 128, 89.5324
2792901376.00, 40, 0, 419.4694
2792901376.00, 40, 8, 94.6973
2792901376.00, 40, 16, 94.2795
2792901376.00, 40, 24, 93.8620
2792901376.00, 40, 32, 93.8918
2792901376.00, 40, 40, 90.6754
2792901376.00, 40, 48, 90.3708
2792901376.00, 40, 56, 90.2507
2792901376.00, 40, 64, 90.1871
2792901376.00, 40, 72, 90.1424
2792901376.00, 40, 80, 90.0650
2792901376.00, 40, 88, 89.9970
2792901376.00, 40, 96, 89.9393
2792901376.00, 40, 104, 89.8816
2792901376.00, 40, 112, 89.8411
2792901376.00, 40, 120, 89.7646
2792901376.00, 40, 128, 89.7456
2792901376.00, 48, 0, 419.4504
2792901376.00, 48, 8, 94.4524
2792901376.00, 48, 16, 94.0433
2792901376.00, 48, 24, 93.7323
2792901376.00, 48, 32, 93.6903
2792901376.00, 48, 40, 91.0386
2792901376.00, 48, 48, 90.7376
2792901376.00, 48, 56, 90.6402
2792901376.00, 48, 64, 90.5898
2792901376.00, 48, 72, 90.5528
2792901376.00, 48, 80, 90.4787
2792901376.00, 48, 88, 90.4191
2792901376.00, 48, 96, 90.3587
2792901376.00, 48, 104, 90.3196
2792901376.00, 48, 112, 90.2785
2792901376.00, 48, 120, 90.2131
2792901376.00, 48, 128, 90.1909
2792901376.00, 56, 0, 419.4970
2792901376.00, 56, 8, 94.0095
2792901376.00, 56, 16, 93.5757
2792901376.00, 56, 24, 93.4136
2792901376.00, 56, 32, 93.3872
2792901376.00, 56, 40, 90.9885
2792901376.00, 56, 48, 90.7114
2792901376.00, 56, 56, 90.6212
2792901376.00, 56, 64, 90.5718
2792901376.00, 56, 72, 90.5355
2792901376.00, 56, 80, 90.4604
2792901376.00, 56, 88, 90.4142
2792901376.00, 56, 96, 90.3558
2792901376.00, 56, 104, 90.3211
2792901376.00, 56, 112, 90.2872
2792901376.00, 56, 120, 90.2346
2792901376.00, 56, 128, 90.2205
2792901376.00, 64, 0, 419.4918
2792901376.00, 64, 8, 93.5510
2792901376.00, 64, 16, 93.0942
2792901376.00, 64, 24, 92.9789
2792901376.00, 64, 32, 92.9204
2792901376.00, 64, 40, 90.8586
2792901376.00, 64, 48, 90.6044
2792901376.00, 64, 56, 90.5042
2792901376.00, 64, 64, 90.4616
2792901376.00, 64, 72, 90.4304
2792901376.00, 64, 80, 90.3576
2792901376.00, 64, 88, 90.3143
2792901376.00, 64, 96, 90.2565
2792901376.00, 64, 104, 90.2313
2792901376.00, 64, 112, 90.1950
2792901376.00, 64, 120, 90.1630
2792901376.00, 64, 128, 90.1515
2792901376.00, 72, 0, 419.4811
2792901376.00, 72, 8, 93.2267
2792901376.00, 72, 16, 92.7409
2792901376.00, 72, 24, 92.6471
2792901376.00, 72, 32, 92.5659
2792901376.00, 72, 40, 90.7656
2792901376.00, 72, 48, 90.5005
2792901376.00, 72, 56, 90.4229
2792901376.00, 72, 64, 90.3794
2792901376.00, 72, 72, 90.3499
2792901376.00, 72, 80, 90.2777
2792901376.00, 72, 88, 90.2412
2792901376.00, 72, 96, 90.1910
2792901376.00, 72, 104, 90.1770
2792901376.00, 72, 112, 90.1408
2792901376.00, 72, 120, 90.1130
2792901376.00, 72, 128, 90.0991
2792901376.00, 80, 0, 419.5093
2792901376.00, 80, 8, 93.0401
2792901376.00, 80, 16, 92.5785
2792901376.00, 80, 24, 92.3811
2792901376.00, 80, 32, 92.2725
2792901376.00, 80, 40, 90.6710
2792901376.00, 80, 48, 90.4060
2792901376.00, 80, 56, 90.3367
2792901376.00, 80, 64, 90.2936
2792901376.00, 80, 72, 90.2625
2792901376.00, 80, 80, 90.1801
2792901376.00, 80, 88, 90.1496
2792901376.00, 80, 96, 90.1067
2792901376.00, 80, 104, 90.0930
2792901376.00, 80, 112, 90.0643
2792901376.00, 80, 120, 90.0377
2792901376.00, 80, 128, 90.0198
2792901376.00, 88, 0, 419.4576
2792901376.00, 88, 8, 92.8048
2792901376.00, 88, 16, 92.3917
2792901376.00, 88, 24, 92.1166
2792901376.00, 88, 32, 92.0068
2792901376.00, 88, 40, 90.5213
2792901376.00, 88, 48, 90.2818
2792901376.00, 88, 56, 90.2036
2792901376.00, 88, 64, 90.2045
2792901376.00, 88, 72, 90.1673
2792901376.00, 88, 80, 90.0971
2792901376.00, 88, 88, 90.0760
2792901376.00, 88, 96, 90.0248
2792901376.00, 88, 104, 90.0172
2792901376.00, 88, 112, 89.9933
2792901376.00, 88, 120, 89.9715
2792901376.00, 88, 128, 89.9629
2792901376.00, 96, 0, 419.5152
2792901376.00, 96, 8, 92.7470
2792901376.00, 96, 16, 92.3392
2792901376.00, 96, 24, 92.0679
2792901376.00, 96, 32, 91.9470
2792901376.00, 96, 40, 90.6063
2792901376.00, 96, 48, 90.3423
2792901376.00, 96, 56, 90.2751
2792901376.00, 96, 64, 90.2442
2792901376.00, 96, 72, 90.1955
2792901376.00, 96, 80, 90.1469
2792901376.00, 96, 88, 90.1307
2792901376.00, 96, 96, 90.0772
2792901376.00, 96, 104, 90.0631
2792901376.00, 96, 112, 90.0324
2792901376.00, 96, 120, 90.0092
2792901376.00, 96, 128, 90.0008
2792901376.00, 104, 0, 419.4240
2792901376.00, 104, 8, 92.7456
2792901376.00, 104, 16, 92.2922
2792901376.00, 104, 24, 92.0177
2792901376.00, 104, 32, 91.8723
2792901376.00, 104, 40, 90.6274
2792901376.00, 104, 48, 90.3931
2792901376.00, 104, 56, 90.3444
2792901376.00, 104, 64, 90.3001
2792901376.00, 104, 72, 90.2684
2792901376.00, 104, 80, 90.2123
2792901376.00, 104, 88, 90.1935
2792901376.00, 104, 96, 90.1459
2792901376.00, 104, 104, 90.1442
2792901376.00, 104, 112, 90.1291
2792901376.00, 104, 120, 90.1083
2792901376.00, 104, 128, 90.0958
2792901376.00, 112, 0, 419.5033
2792901376.00, 112, 8, 92.7976
2792901376.00, 112, 16, 92.3039
2792901376.00, 112, 24, 92.0817
2792901376.00, 112, 32, 91.9671
2792901376.00, 112, 40, 90.7643
2792901376.00, 112, 48, 90.5246
2792901376.00, 112, 56, 90.4630
2792901376.00, 112, 64, 90.4360
2792901376.00, 112, 72, 90.4049
2792901376.00, 112, 80, 90.3409
2792901376.00, 112, 88, 90.3399
2792901376.00, 112, 96, 90.2771
2792901376.00, 112, 104, 90.2830
2792901376.00, 112, 112, 90.2503
2792901376.00, 112, 120, 90.2314
2792901376.00, 112, 128, 90.1971
2792901376.00, 120, 0, 419.4656
2792901376.00, 120, 8, 92.8897
2792901376.00, 120, 16, 92.2851
2792901376.00, 120, 24, 92.0359
2792901376.00, 120, 32, 91.9077
2792901376.00, 120, 40, 90.7846
2792901376.00, 120, 48, 90.5229
2792901376.00, 120, 56, 90.4634
2792901376.00, 120, 64, 90.4373
2792901376.00, 120, 72, 90.3977
2792901376.00, 120, 80, 90.3272
2792901376.00, 120, 88, 90.2958
2792901376.00, 120, 96, 90.2443
2792901376.00, 120, 104, 90.2544
2792901376.00, 120, 112, 90.2187
2792901376.00, 120, 120, 90.1936
2792901376.00, 120, 128, 90.1750
2792901376.00, 128, 0, 419.5154
2792901376.00, 128, 8, 93.2364
2792901376.00, 128, 16, 92.6433
2792901376.00, 128, 24, 92.3795
2792901376.00, 128, 32, 92.2331
2792901376.00, 128, 40, 91.1879
2792901376.00, 128, 48, 90.9235
2792901376.00, 128, 56, 90.8543
2792901376.00, 128, 64, 90.8238
2792901376.00, 128, 72, 90.7887
2792901376.00, 128, 80, 90.7109
2792901376.00, 128, 88, 90.6836
2792901376.00, 128, 96, 90.6312
2792901376.00, 128, 104, 90.6293
2792901376.00, 128, 112, 90.5924
2792901376.00, 128, 120, 90.5672
2792901376.00, 128, 128, 90.5505
