sum,A,B,t0
2792901376.00, 0, 0, 49.2861
2792901376.00, 0, 8, 50.1357
2792901376.00, 0, 16, 50.3758
2792901376.00, 0, 24, 50.3883
2792901376.00, 0, 32, 50.3015
2792901376.00, 0, 40, 50.3422
2792901376.00, 0, 48, 50.0790
2792901376.00, 0, 56, 50.1689
2792901376.00, 0, 64, 50.3159
2792901376.00, 0, 72, 50.3950
2792901376.00, 0, 80, 50.2694
2792901376.00, 0, 88, 50.2597
2792901376.00, 0, 96, 50.3804
2792901376.00, 0, 104, 50.3230
2792901376.00, 0, 112, 50.1244
2792901376.00, 0, 120, 50.0185
2792901376.00, 0, 128, 50.3186
2792901376.00, 8, 0, 50.3763
2792901376.00, 8, 8, 65.8553
2792901376.00, 8, 16, 64.3971
2792901376.00, 8, 24, 64.0941
2792901376.00, 8, 32, 63.7140
2792901376.00, 8, 40, 63.5977
2792901376.00, 8, 48, 63.7786
2792901376.00, 8, 56, 63.9228
2792901376.00, 8, 64, 63.6415
2792901376.00, 8, 72, 63.9814
2792901376.00, 8, 80, 63.8194
2792901376.00, 8, 88, 63.6784
2792901376.00, 8, 96, 63.5433
2792901376.00, 8, 104, 63.9278
2792901376.00, 8, 112, 63.8958
2792901376.00, 8, 120, 63.8368
2792901376.00, 8, 128, 63.7967
2792901376.00, 16, 0, 50.1326
2792901376.00, 16, 8, 68.1891
2792901376.00, 16, 16, 67.2607
2792901376.00, 16, 24, 66.9264
2792901376.00, 16, 32, 66.8462
2792901376.00, 16, 40, 66.7205
2792901376.00, 16, 48, 66.6341
2792901376.00, 16, 56, 66.3871
2792901376.00, 16, 64, 66.6663
2792901376.00, 16, 72, 66.5937
2792901376.00, 16, 80, 66.4448
2792901376.00, 16, 88, 66.5790
2792901376.00, 16, 96, 66.5038
2792901376.00, 16, 104, 66.6245
2792901376.00, 16, 112, 66.5869
2792901376.00, 16, 120, 66.5044
2792901376.00, 16, 128, 66.5462
2792901376.00, 24, 0, 50.4140
2792901376.00, 24, 8, 117.4855
2792901376.00, 24, 16, 118.1035
2792901376.00, 24, 24, 117.2078
