sum,A,B,t0
2792901376.00, 0, 0, 2.9375
2792901376.00, 0, 8, 2.9376
2792901376.00, 0, 16, 2.9365
2792901376.00, 0, 24, 2.9373
2792901376.00, 0, 32, 2.9379
2792901376.00, 0, 40, 2.9368
2792901376.00, 0, 48, 2.9369
2792901376.00, 0, 56, 2.9385
2792901376.00, 0, 64, 2.9369
2792901376.00, 0, 72, 2.9365
2792901376.00, 0, 80, 2.9379
2792901376.00, 0, 88, 2.9378
2792901376.00, 0, 96, 2.9365
2792901376.00, 0, 104, 2.9386
2792901376.00, 0, 112, 2.9369
2792901376.00, 0, 120, 2.9369
2792901376.00, 0, 128, 2.9373
2792901376.00, 8, 0, 2.9366
2792901376.00, 8, 8, 8.8598
2792901376.00, 8, 16, 9.0811
2792901376.00, 8, 24, 8.8640
2792901376.00, 8, 32, 8.7640
2792901376.00, 8, 40, 8.7015
2792901376.00, 8, 48, 8.6558
2792901376.00, 8, 56, 8.6268
2792901376.00, 8, 64, 8.6052
2792901376.00, 8, 72, 8.5888
2792901376.00, 8, 80, 8.5730
2792901376.00, 8, 88, 8.5623
2792901376.00, 8, 96, 8.5503
2792901376.00, 8, 104, 8.5444
2792901376.00, 8, 112, 8.5390
2792901376.00, 8, 120, 8.5296
2792901376.00, 8, 128, 8.5275
2792901376.00, 16, 0, 2.9366
2792901376.00, 16, 8, 9.0867
2792901376.00, 16, 16, 8.7763
2792901376.00, 16, 24, 8.6749
2792901376.00, 16, 32, 8.6226
2792901376.00, 16, 40, 8.5883
2792901376.00, 16, 48, 8.5679
2792901376.00, 16, 56, 8.5530
2792901376.00, 16, 64, 8.5445
2792901376.00, 16, 72, 8.5366
2792901376.00, 16, 80, 8.5293
2792901376.00, 16, 88, 8.5234
2792901376.00, 16, 96, 8.5179
2792901376.00, 16, 104, 8.5142
2792901376.00, 16, 112, 8.5123
2792901376.00, 16, 120, 8.5082
2792901376.00, 16, 128, 8.5045
2792901376.00, 24, 0, 2.9387
2792901376.00, 24, 8, 9.1700
2792901376.00, 24, 16, 8.9531
2792901376.00, 24, 24, 8.8792
2792901376.00, 24, 32, 8.8435
2792901376.00, 24, 40, 8.8225
2792901376.00, 24, 48, 8.8069
2792901376.00, 24, 56, 8.7999
2792901376.00, 24, 64, 8.7885
2792901376.00, 24, 72, 8.7829
2792901376.00, 24, 80, 8.7770
2792901376.00, 24, 88, 8.7743
2792901376.00, 24, 96, 8.7696
2792901376.00, 24, 104, 8.7722
2792901376.00, 24, 112, 8.7683
2792901376.00, 24, 120, 8.7654
2792901376.00, 24, 128, 8.7632
2792901376.00, 32, 0, 2.9374
2792901376.00, 32, 8, 9.5514
2792901376.00, 32, 16, 9.3780
2792901376.00, 32, 24, 9.3202
2792901376.00, 32, 32, 9.2901
2792901376.00, 32, 40, 9.2753
2792901376.00, 32, 48, 9.2613
2792901376.00, 32, 56, 9.2514
2792901376.00, 32, 64, 9.2480
2792901376.00, 32, 72, 9.2414
2792901376.00, 32, 80, 9.2452
2792901376.00, 32, 88, 9.2377
2792901376.00, 32, 96, 9.2301
2792901376.00, 32, 104, 9.2309
2792901376.00, 32, 112, 9.2273
2792901376.00, 32, 120, 9.2267
2792901376.00, 32, 128, 9.2255
2792901376.00, 40, 0, 2.9364
2792901376.00, 40, 8, 11.2495
2792901376.00, 40, 16, 11.2354
2792901376.00, 40, 24, 11.2357
2792901376.00, 40, 32, 11.2362
2792901376.00, 40, 40, 11.2367
2792901376.00, 40, 48, 11.2449
2792901376.00, 40, 56, 11.2316
2792901376.00, 40, 64, 11.2307
2792901376.00, 40, 72, 11.2314
2792901376.00, 40, 80, 11.2354
2792901376.00, 40, 88, 11.2329
2792901376.00, 40, 96, 11.2362
2792901376.00, 40, 104, 11.2336
2792901376.00, 40, 112, 11.2324
2792901376.00, 40, 120, 11.2324
2792901376.00, 40, 128, 11.2364
2792901376.00, 48, 0, 2.9380
2792901376.00, 48, 8, 11.8588
2792901376.00, 48, 16, 11.7324
2792901376.00, 48, 24, 11.6919
2792901376.00, 48, 32, 11.6675
2792901376.00, 48, 40, 11.6605
2792901376.00, 48, 48, 11.6808
2792901376.00, 48, 56, 11.6445
2792901376.00, 48, 64, 11.6391
2792901376.00, 48, 72, 11.6369
2792901376.00, 48, 80, 11.6371
2792901376.00, 48, 88, 11.6437
2792901376.00, 48, 96, 11.6275
2792901376.00, 48, 104, 11.6291
2792901376.00, 48, 112, 11.6266
2792901376.00, 48, 120, 11.6275
2792901376.00, 48, 128, 11.6297
2792901376.00, 56, 0, 2.9376
2792901376.00, 56, 8, 11.9865
2792901376.00, 56, 16, 11.8838
2792901376.00, 56, 24, 11.8495
2792901376.00, 56, 32, 11.8357
2792901376.00, 56, 40, 11.8308
2792901376.00, 56, 48, 11.8175
2792901376.00, 56, 56, 11.8127
2792901376.00, 56, 64, 11.8067
2792901376.00, 56, 72, 11.8096
2792901376.00, 56, 80, 11.8157
2792901376.00, 56, 88, 11.8002
2792901376.00, 56, 96, 11.7975
2792901376.00, 56, 104, 11.7988
2792901376.00, 56, 112, 11.7998
2792901376.00, 56, 120, 11.8303
2792901376.00, 56, 128, 11.7922
2792901376.00, 64, 0, 2.9376
2792901376.00, 64, 8, 12.0809
2792901376.00, 64, 16, 11.9874
2792901376.00, 64, 24, 11.9586
2792901376.00, 64, 32, 11.9440
2792901376.00, 64, 40, 11.9338
2792901376.00, 64, 48, 11.9263
2792901376.00, 64, 56, 11.9249
2792901376.00, 64, 64, 11.9222
2792901376.00, 64, 72, 11.9209
2792901376.00, 64, 80, 11.9147
2792901376.00, 64, 88, 11.9118
2792901376.00, 64, 96, 11.9098
2792901376.00, 64, 104, 11.9130
2792901376.00, 64, 112, 11.9137
2792901376.00, 64, 120, 11.9102
2792901376.00, 64, 128, 11.9108
2792901376.00, 72, 0, 2.9373
2792901376.00, 72, 8, 12.0904
2792901376.00, 72, 16, 12.0076
2792901376.00, 72, 24, 11.9792
2792901376.00, 72, 32, 11.9661
2792901376.00, 72, 40, 11.9591
2792901376.00, 72, 48, 11.9567
2792901376.00, 72, 56, 11.9524
2792901376.00, 72, 64, 11.9520
2792901376.00, 72, 72, 11.9467
2792901376.00, 72, 80, 11.9439
2792901376.00, 72, 88, 11.9432
2792901376.00, 72, 96, 11.9466
2792901376.00, 72, 104, 11.9478
2792901376.00, 72, 112, 11.9424
2792901376.00, 72, 120, 11.9412
2792901376.00, 72, 128, 11.9416
2792901376.00, 80, 0, 2.9377
2792901376.00, 80, 8, 12.0732
2792901376.00, 80, 16, 11.9957
2792901376.00, 80, 24, 11.9743
2792901376.00, 80, 32, 11.9633
2792901376.00, 80, 40, 11.9593
2792901376.00, 80, 48, 11.9536
2792901376.00, 80, 56, 11.9512
2792901376.00, 80, 64, 11.9489
2792901376.00, 80, 72, 11.9476
2792901376.00, 80, 80, 11.9453
2792901376.00, 80, 88, 11.9449
2792901376.00, 80, 96, 11.9457
2792901376.00, 80, 104, 11.9434
2792901376.00, 80, 112, 11.9435
2792901376.00, 80, 120, 11.9423
2792901376.00, 80, 128, 11.9423
2792901376.00, 88, 0, 2.9370
2792901376.00, 88, 8, 12.0546
2792901376.00, 88, 16, 11.9848
2792901376.00, 88, 24, 11.9614
2792901376.00, 88, 32, 11.9478
2792901376.00, 88, 40, 11.9427
2792901376.00, 88, 48, 11.9363
2792901376.00, 88, 56, 11.9328
2792901376.00, 88, 64, 11.9302
2792901376.00, 88, 72, 11.9285
2792901376.00, 88, 80, 11.9289
2792901376.00, 88, 88, 11.9278
2792901376.00, 88, 96, 11.9267
2792901376.00, 88, 104, 11.9262
2792901376.00, 88, 112, 11.9253
2792901376.00, 88, 120, 11.9222
2792901376.00, 88, 128, 11.9237
2792901376.00, 96, 0, 2.9375
2792901376.00, 96, 8, 12.0234
2792901376.00, 96, 16, 11.9651
2792901376.00, 96, 24, 11.9516
2792901376.00, 96, 32, 11.9457
2792901376.00, 96, 40, 11.9397
2792901376.00, 96, 48, 11.9350
2792901376.00, 96, 56, 11.9325
2792901376.00, 96, 64, 11.9310
2792901376.00, 96, 72, 11.9278
2792901376.00, 96, 80, 11.9265
2792901376.00, 96, 88, 11.9257
2792901376.00, 96, 96, 11.9243
2792901376.00, 96, 104, 11.9238
2792901376.00, 96, 112, 11.9229
2792901376.00, 96, 120, 11.9220
2792901376.00, 96, 128, 11.9219
2792901376.00, 104, 0, 2.9365
2792901376.00, 104, 8, 12.0322
2792901376.00, 104, 16, 11.9726
2792901376.00, 104, 24, 11.9528
2792901376.00, 104, 32, 11.9428
2792901376.00, 104, 40, 11.9379
2792901376.00, 104, 48, 11.9331
2792901376.00, 104, 56, 11.9299
2792901376.00, 104, 64, 11.9313
2792901376.00, 104, 72, 11.9267
2792901376.00, 104, 80, 11.9234
2792901376.00, 104, 88, 11.9212
2792901376.00, 104, 96, 11.9202
2792901376.00, 104, 104, 11.9234
2792901376.00, 104, 112, 11.9247
2792901376.00, 104, 120, 11.9193
2792901376.00, 104, 128, 11.9197
2792901376.00, 112, 0, 2.9371
2792901376.00, 112, 8, 12.0030
2792901376.00, 112, 16, 11.9502
2792901376.00, 112, 24, 11.9288
2792901376.00, 112, 32, 11.9193
2792901376.00, 112, 40, 11.9124
2792901376.00, 112, 48, 11.9111
2792901376.00, 112, 56, 11.9072
2792901376.00, 112, 64, 11.9064
2792901376.00, 112, 72, 11.9020
2792901376.00, 112, 80, 11.9015
2792901376.00, 112, 88, 11.9011
2792901376.00, 112, 96, 11.9135
2792901376.00, 112, 104, 11.8979
2792901376.00, 112, 112, 11.8973
2792901376.00, 112, 120, 11.8972
2792901376.00, 112, 128, 11.8952
2792901376.00, 120, 0, 2.9383
2792901376.00, 120, 8, 12.0088
2792901376.00, 120, 16, 11.9608
2792901376.00, 120, 24, 11.9464
2792901376.00, 120, 32, 11.9392
2792901376.00, 120, 40, 11.9358
2792901376.00, 120, 48, 11.9295
2792901376.00, 120, 56, 11.9268
2792901376.00, 120, 64, 11.9258
2792901376.00, 120, 72, 11.9253
2792901376.00, 120, 80, 11.9275
2792901376.00, 120, 88, 11.9249
2792901376.00, 120, 96, 11.9255
2792901376.00, 120, 104, 11.9236
2792901376.00, 120, 112, 11.9232
2792901376.00, 120, 120, 11.9251
2792901376.00, 120, 128, 11.9232
2792901376.00, 128, 0, 2.9361
2792901376.00, 128, 8, 12.0315
2792901376.00, 128, 16, 11.9784
2792901376.00, 128, 24, 11.9631
2792901376.00, 128, 32, 11.9574
2792901376.00, 128, 40, 11.9526
2792901376.00, 128, 48, 11.9480
2792901376.00, 128, 56, 11.9465
2792901376.00, 128, 64, 11.9449
2792901376.00, 128, 72, 11.9462
2792901376.00, 128, 80, 11.9397
2792901376.00, 128, 88, 11.9389
2792901376.00, 128, 96, 11.9391
2792901376.00, 128, 104, 11.9388
2792901376.00, 128, 112, 11.9389
2792901376.00, 128, 120, 11.9913
2792901376.00, 128, 128, 11.9366
