sum,A,B,t0
2792901376.00, 0, 0, 185.5393
2792901376.00, 0, 8, 185.5458
2792901376.00, 0, 16, 185.5456
2792901376.00, 0, 24, 185.5364
2792901376.00, 0, 32, 185.5291
2792901376.00, 0, 40, 185.5812
2792901376.00, 0, 48, 185.5379
2792901376.00, 0, 56, 185.5237
2792901376.00, 0, 64, 185.5209
2792901376.00, 0, 72, 185.5287
2792901376.00, 0, 80, 185.5507
2792901376.00, 0, 88, 185.5425
2792901376.00, 0, 96, 185.5472
2792901376.00, 0, 104, 185.5319
2792901376.00, 0, 112, 185.5401
2792901376.00, 0, 120, 185.5377
2792901376.00, 0, 128, 185.5462
2792901376.00, 8, 0, 185.5328
2792901376.00, 8, 8, 31.4232
2792901376.00, 8, 16, 20.4962
2792901376.00, 8, 24, 16.7469
2792901376.00, 8, 32, 14.8854
2792901376.00, 8, 40, 13.7119
2792901376.00, 8, 48, 12.9578
2792901376.00, 8, 56, 12.4243
2792901376.00, 8, 64, 12.0587
2792901376.00, 8, 72, 11.7393
2792901376.00, 8, 80, 11.4355
2792901376.00, 8, 88, 11.2816
2792901376.00, 8, 96, 11.0687
2792901376.00, 8, 104, 10.9789
2792901376.00, 8, 112, 10.8313
2792901376.00, 8, 120, 10.6820
2792901376.00, 8, 128, 10.6196
2792901376.00, 16, 0, 185.5213
2792901376.00, 16, 8, 32.0887
2792901376.00, 16, 16, 20.6973
2792901376.00, 16, 24, 16.9052
2792901376.00, 16, 32, 14.9895
2792901376.00, 16, 40, 13.8559
2792901376.00, 16, 48, 13.0915
2792901376.00, 16, 56, 12.5618
2792901376.00, 16, 64, 12.1910
2792901376.00, 16, 72, 11.8949
2792901376.00, 16, 80, 11.5929
2792901376.00, 16, 88, 11.4418
2792901376.00, 16, 96, 11.2121
2792901376.00, 16, 104, 11.1360
2792901376.00, 16, 112, 10.9815
2792901376.00, 16, 120, 10.8411
2792901376.00, 16, 128, 10.7719
2792901376.00, 24, 0, 185.5514
2792901376.00, 24, 8, 31.7611
2792901376.00, 24, 16, 20.5919
2792901376.00, 24, 24, 16.8885
2792901376.00, 24, 32, 15.0130
2792901376.00, 24, 40, 13.9198
2792901376.00, 24, 48, 13.1773
2792901376.00, 24, 56, 12.6663
2792901376.00, 24, 64, 12.2932
2792901376.00, 24, 72, 12.0072
2792901376.00, 24, 80, 11.7088
2792901376.00, 24, 88, 11.5702
2792901376.00, 24, 96, 11.3513
2792901376.00, 24, 104, 11.2855
2792901376.00, 24, 112, 11.1403
2792901376.00, 24, 120, 10.9956
2792901376.00, 24, 128, 10.9266
2792901376.00, 32, 0, 185.5468
2792901376.00, 32, 8, 31.8874
2792901376.00, 32, 16, 20.7527
2792901376.00, 32, 24, 17.0331
2792901376.00, 32, 32, 15.1586
2792901376.00, 32, 40, 14.0681
2792901376.00, 32, 48, 13.3206
2792901376.00, 32, 56, 12.8030
2792901376.00, 32, 64, 12.4315
2792901376.00, 32, 72, 12.1525
2792901376.00, 32, 80, 11.8491
2792901376.00, 32, 88, 11.7146
2792901376.00, 32, 96, 11.4932
2792901376.00, 32, 104, 11.4259
2792901376.00, 32, 112, 11.2780
2792901376.00, 32, 120, 11.1351
2792901376.00, 32, 128, 11.0656
2792901376.00, 40, 0, 185.5499
2792901376.00, 40, 8, 33.2791
2792901376.00, 40, 16, 22.1931
2792901376.00, 40, 24, 18.5351
2792901376.00, 40, 32, 16.7196
2792901376.00, 40, 40, 15.6383
2792901376.00, 40, 48, 14.8955
2792901376.00, 40, 56, 14.3926
2792901376.00, 40, 64, 14.0042
2792901376.00, 40, 72, 13.7206
2792901376.00, 40, 80, 13.4320
2792901376.00, 40, 88, 13.2877
2792901376.00, 40, 96, 13.0698
2792901376.00, 40, 104, 13.0094
2792901376.00, 40, 112, 12.8602
2792901376.00, 40, 120, 12.7196
2792901376.00, 40, 128, 12.6466
2792901376.00, 48, 0, 185.5292
2792901376.00, 48, 8, 33.4339
2792901376.00, 48, 16, 22.4359
2792901376.00, 48, 24, 18.7785
2792901376.00, 48, 32, 16.9233
2792901376.00, 48, 40, 15.8464
2792901376.00, 48, 48, 15.1148
2792901376.00, 48, 56, 14.6356
2792901376.00, 48, 64, 14.2448
2792901376.00, 48, 72, 13.9630
2792901376.00, 48, 80, 13.6762
2792901376.00, 48, 88, 13.5353
2792901376.00, 48, 96, 13.3152
2792901376.00, 48, 104, 13.2485
2792901376.00, 48, 112, 13.1032
2792901376.00, 48, 120, 12.9625
2792901376.00, 48, 128, 12.9055
2792901376.00, 56, 0, 185.5107
2792901376.00, 56, 8, 33.4693
2792901376.00, 56, 16, 22.5179
2792901376.00, 56, 24, 18.8547
2792901376.00, 56, 32, 17.0188
2792901376.00, 56, 40, 15.9442
2792901376.00, 56, 48, 15.2217
2792901376.00, 56, 56, 14.7169
2792901376.00, 56, 64, 14.3555
2792901376.00, 56, 72, 14.0771
2792901376.00, 56, 80, 13.7930
2792901376.00, 56, 88, 13.6515
2792901376.00, 56, 96, 13.4371
2792901376.00, 56, 104, 13.3679
2792901376.00, 56, 112, 13.2259
2792901376.00, 56, 120, 13.0831
2792901376.00, 56, 128, 13.0118
2792901376.00, 64, 0, 185.5289
2792901376.00, 64, 8, 33.5175
2792901376.00, 64, 16, 22.5603
2792901376.00, 64, 24, 18.9189
2792901376.00, 64, 32, 17.0935
2792901376.00, 64, 40, 16.0199
2792901376.00, 64, 48, 15.3005
2792901376.00, 64, 56, 14.7966
2792901376.00, 64, 64, 14.4358
2792901376.00, 64, 72, 14.1504
2792901376.00, 64, 80, 13.8667
2792901376.00, 64, 88, 13.7246
2792901376.00, 64, 96, 13.5152
2792901376.00, 64, 104, 13.4426
2792901376.00, 64, 112, 13.3002
2792901376.00, 64, 120, 13.1586
2792901376.00, 64, 128, 13.0888
2792901376.00, 72, 0, 185.5468
2792901376.00, 72, 8, 33.5339
2792901376.00, 72, 16, 22.5852
2792901376.00, 72, 24, 18.9398
2792901376.00, 72, 32, 17.1147
2792901376.00, 72, 40, 16.0393
2792901376.00, 72, 48, 15.3259
2792901376.00, 72, 56, 14.8211
2792901376.00, 72, 64, 14.4624
2792901376.00, 72, 72, 14.1793
2792901376.00, 72, 80, 13.8956
