sum,A,B,t0
2792901376.00, 0, 0, 5.1290
2792901376.00, 0, 8, 5.1308
2792901376.00, 0, 16, 5.1289
2792901376.00, 0, 24, 5.1285
2792901376.00, 0, 32, 5.1291
2792901376.00, 0, 40, 5.1281
2792901376.00, 0, 48, 5.1300
2792901376.00, 0, 56, 5.1299
2792901376.00, 0, 64, 5.1284
2792901376.00, 0, 72, 5.1283
2792901376.00, 0, 80, 5.1291
2792901376.00, 0, 88, 5.1287
2792901376.00, 0, 96, 5.1288
2792901376.00, 0, 104, 5.1327
2792901376.00, 0, 112, 5.1286
2792901376.00, 0, 120, 5.1276
2792901376.00, 0, 128, 5.1288
2792901376.00, 8, 0, 5.1286
2792901376.00, 8, 8, 9.5081
2792901376.00, 8, 16, 9.7315
2792901376.00, 8, 24, 9.5381
2792901376.00, 8, 32, 9.4378
2792901376.00, 8, 40, 9.3836
2792901376.00, 8, 48, 9.3435
2792901376.00, 8, 56, 9.3169
2792901376.00, 8, 64, 9.2963
2792901376.00, 8, 72, 9.2819
2792901376.00, 8, 80, 9.2664
2792901376.00, 8, 88, 9.2682
2792901376.00, 8, 96, 9.2453
2792901376.00, 8, 104, 9.2407
2792901376.00, 8, 112, 9.2350
2792901376.00, 8, 120, 9.2277
2792901376.00, 8, 128, 9.2242
2792901376.00, 16, 0, 5.1291
2792901376.00, 16, 8, 11.3287
2792901376.00, 16, 16, 11.0420
2792901376.00, 16, 24, 10.9523
2792901376.00, 16, 32, 10.9036
2792901376.00, 16, 40, 10.8771
2792901376.00, 16, 48, 10.8597
2792901376.00, 16, 56, 10.8423
2792901376.00, 16, 64, 10.8354
2792901376.00, 16, 72, 10.8227
2792901376.00, 16, 80, 10.8302
2792901376.00, 16, 88, 10.8142
2792901376.00, 16, 96, 10.8120
2792901376.00, 16, 104, 10.8026
2792901376.00, 16, 112, 10.8054
2792901376.00, 16, 120, 10.7968
2792901376.00, 16, 128, 10.7969
2792901376.00, 24, 0, 5.1285
2792901376.00, 24, 8, 11.6972
2792901376.00, 24, 16, 11.4890
2792901376.00, 24, 24, 11.4248
2792901376.00, 24, 32, 11.3910
2792901376.00, 24, 40, 11.3712
2792901376.00, 24, 48, 11.3589
2792901376.00, 24, 56, 11.3441
2792901376.00, 24, 64, 11.3419
2792901376.00, 24, 72, 11.3339
2792901376.00, 24, 80, 11.3290
2792901376.00, 24, 88, 11.3274
2792901376.00, 24, 96, 11.3204
2792901376.00, 24, 104, 11.3170
2792901376.00, 24, 112, 11.3166
2792901376.00, 24, 120, 11.3137
2792901376.00, 24, 128, 11.3131
2792901376.00, 32, 0, 5.1299
2792901376.00, 32, 8, 14.9326
2792901376.00, 32, 16, 14.7880
2792901376.00, 32, 24, 14.7408
2792901376.00, 32, 32, 14.7186
2792901376.00, 32, 40, 14.7026
2792901376.00, 32, 48, 14.6945
2792901376.00, 32, 56, 14.6912
2792901376.00, 32, 64, 14.6838
2792901376.00, 32, 72, 14.6857
2792901376.00, 32, 80, 14.6821
2792901376.00, 32, 88, 14.6883
2792901376.00, 32, 96, 14.6811
2792901376.00, 32, 104, 14.6830
2792901376.00, 32, 112, 14.6839
2792901376.00, 32, 120, 14.6876
2792901376.00, 32, 128, 14.6700
2792901376.00, 40, 0, 5.1298
2792901376.00, 40, 8, 16.2478
2792901376.00, 40, 16, 16.2649
2792901376.00, 40, 24, 16.2755
2792901376.00, 40, 32, 16.2794
2792901376.00, 40, 40, 16.2784
2792901376.00, 40, 48, 16.2787
2792901376.00, 40, 56, 16.2813
2792901376.00, 40, 64, 16.2812
2792901376.00, 40, 72, 16.2861
2792901376.00, 40, 80, 16.2846
2792901376.00, 40, 88, 16.2895
2792901376.00, 40, 96, 16.3066
2792901376.00, 40, 104, 16.2861
2792901376.00, 40, 112, 16.2860
2792901376.00, 40, 120, 16.2893
2792901376.00, 40, 128, 16.2871
2792901376.00, 48, 0, 5.1284
2792901376.00, 48, 8, 16.8959
2792901376.00, 48, 16, 16.7920
2792901376.00, 48, 24, 16.7567
2792901376.00, 48, 32, 16.7376
2792901376.00, 48, 40, 16.7268
2792901376.00, 48, 48, 16.7208
2792901376.00, 48, 56, 16.7174
2792901376.00, 48, 64, 16.7102
2792901376.00, 48, 72, 16.7128
2792901376.00, 48, 80, 16.7059
2792901376.00, 48, 88, 16.7049
2792901376.00, 48, 96, 16.7000
2792901376.00, 48, 104, 16.7049
2792901376.00, 48, 112, 16.7011
2792901376.00, 48, 120, 16.7009
2792901376.00, 48, 128, 16.7010
2792901376.00, 56, 0, 5.1314
2792901376.00, 56, 8, 17.0954
2792901376.00, 56, 16, 17.0054
2792901376.00, 56, 24, 16.9744
2792901376.00, 56, 32, 16.9614
2792901376.00, 56, 40, 16.9485
2792901376.00, 56, 48, 16.9403
2792901376.00, 56, 56, 16.9462
2792901376.00, 56, 64, 16.9360
2792901376.00, 56, 72, 16.9717
2792901376.00, 56, 80, 16.9286
2792901376.00, 56, 88, 16.9303
2792901376.00, 56, 96, 16.9264
2792901376.00, 56, 104, 16.9280
2792901376.00, 56, 112, 16.9286
2792901376.00, 56, 120, 16.9249
2792901376.00, 56, 128, 16.9257
2792901376.00, 64, 0, 5.1284
2792901376.00, 64, 8, 17.2387
2792901376.00, 64, 16, 17.1621
2792901376.00, 64, 24, 17.1333
2792901376.00, 64, 32, 17.1225
2792901376.00, 64, 40, 17.1180
2792901376.00, 64, 48, 17.1074
2792901376.00, 64, 56, 17.1048
2792901376.00, 64, 64, 17.1065
2792901376.00, 64, 72, 17.1019
2792901376.00, 64, 80, 17.0980
2792901376.00, 64, 88, 17.0973
2792901376.00, 64, 96, 17.0999
2792901376.00, 64, 104, 17.0967
2792901376.00, 64, 112, 17.0924
2792901376.00, 64, 120, 17.0938
2792901376.00, 64, 128, 17.0939
2792901376.00, 72, 0, 5.1286
2792901376.00, 72, 8, 17.2351
2792901376.00, 72, 16, 17.1611
2792901376.00, 72, 24, 17.1540
2792901376.00, 72, 32, 17.1302
2792901376.00, 72, 40, 17.1195
2792901376.00, 72, 48, 17.1163
2792901376.00, 72, 56, 17.1158
2792901376.00, 72, 64, 17.1136
2792901376.00, 72, 72, 17.1110
2792901376.00, 72, 80, 17.1100
2792901376.00, 72, 88, 17.1073
2792901376.00, 72, 96, 17.1036
2792901376.00, 72, 104, 17.1072
2792901376.00, 72, 112, 17.1045
2792901376.00, 72, 120, 17.1075
2792901376.00, 72, 128, 17.1049
2792901376.00, 80, 0, 5.1308
2792901376.00, 80, 8, 17.2198
2792901376.00, 80, 16, 17.1492
2792901376.00, 80, 24, 17.1242
2792901376.00, 80, 32, 17.1186
2792901376.00, 80, 40, 17.1065
2792901376.00, 80, 48, 17.1028
2792901376.00, 80, 56, 17.1048
2792901376.00, 80, 64, 17.1029
2792901376.00, 80, 72, 17.0987
2792901376.00, 80, 80, 17.0965
2792901376.00, 80, 88, 17.0988
2792901376.00, 80, 96, 17.0976
2792901376.00, 80, 104, 17.0971
2792901376.00, 80, 112, 17.0953
2792901376.00, 80, 120, 17.0970
2792901376.00, 80, 128, 17.0967
2792901376.00, 88, 0, 5.1292
2792901376.00, 88, 8, 17.2774
2792901376.00, 88, 16, 17.2254
